gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,15,managed throughout,5414.084782290842,3,1
10,24,False,False,15,managed throughout,7367.2211800374935,3,1
11,25,False,False,15,managed throughout,4515.914264983857,3,1
12,26,False,False,15,managed throughout,9628.869256643944,2,0
13,27,False,False,15,managed throughout,13902.96863618676,2,0
14,28,False,False,15,managed throughout,6791.306671023925,3,0
15,29,False,False,15,managed throughout,5008.008358329147,3,0
16,30,False,False,15,managed throughout,6806.4401239038225,4,0
17,31,False,False,15,managed throughout,7104.30598765948,4,0
18,32,False,False,15,managed throughout,3656.7859072354977,5,0
19,33,False,False,15,managed throughout,2401.6772387479127,6,0
20,34,False,False,15,managed throughout,6167.601945757622,6,0
32,46,False,False,15,managed throughout,1199.6425742201825,3,0
33,47,False,False,15,managed throughout,1098.405414860797,2,0
34,48,False,False,15,managed throughout,3372.615833369545,5,0
35,49,False,False,15,managed throughout,4129.690038032568,6,0
36,50,False,False,15,managed throughout,3567.2756066694838,6,0
37,51,False,False,15,managed throughout,2597.1696607325284,7,0
38,52,False,False,15,managed throughout,5404.155771903319,5,0
39,53,False,False,15,managed throughout,7757.466916305055,2,0
40,54,False,False,15,managed throughout,6355.498668065099,4,0
41,55,False,False,15,managed throughout,7651.265048787925,3,0
42,56,False,False,15,managed throughout,6232.658206890999,2,0
43,57,False,False,15,managed throughout,4265.387083650747,2,0
44,58,False,False,15,managed throughout,3409.2436742782647,2,0
45,59,False,False,15,managed throughout,7342.670228998495,2,0
46,60,False,False,15,managed throughout,7606.674878224294,3,0
47,61,False,False,15,managed throughout,6479.783534362924,3,0
48,62,False,False,15,managed throughout,6596.523381027376,5,0
49,63,False,False,15,managed throughout,6349.4616090053305,6,0
50,64,False,False,15,managed throughout,8044.625863027495,8,0
51,65,False,False,15,managed throughout,6706.4827964425185,8,0
52,66,False,False,15,managed throughout,4833.380386193406,8,0
53,67,False,False,15,managed throughout,6557.860894973249,10,0
54,68,False,False,15,managed throughout,6149.993581013226,8,0
55,69,False,False,15,managed throughout,5826.7641613634305,10,0
56,70,False,False,15,managed throughout,5543.98390420731,10,0
57,71,False,False,15,managed throughout,5379.844403413115,9,0
58,72,False,False,15,managed throughout,4940.06755114505,8,0
59,73,False,False,15,managed throughout,5438.350001803199,8,0
60,74,False,False,15,managed throughout,5129.816873499362,6,0
61,75,False,False,15,managed throughout,3522.4981478871914,5,0
62,76,False,False,15,managed throughout,4147.401057790217,2,0
63,77,False,False,15,managed throughout,3457.9500269447094,1,0
64,78,False,False,15,managed throughout,3829.8098312202515,2,0
65,79,False,False,15,managed throughout,1000.4541870117226,2,0
66,80,False,False,15,managed throughout,634.3279461525424,2,0
67,81,False,False,15,managed throughout,2396.630314962319,4,0
84,98,False,False,15,managed throughout,8148.103968579797,6,3
85,99,False,False,15,managed throughout,5059.734543381007,6,0
86,100,False,False,15,managed throughout,6877.906033808686,5,1
87,101,False,False,15,managed throughout,7504.680783083216,5,1
88,102,False,False,15,managed throughout,2455.531768010398,2,0
89,103,False,False,15,managed throughout,4338.414652347571,0,0
90,104,False,False,15,managed throughout,4083.876866404599,1,0
