gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,5.475379718885961,3.2348539073207827,0.4173255920243073
2,3.4976474207397326,3.217143457355009,0.5733013410977097
3,5.398507133443023,3.611056773931037,0.5184268402580186
4,5.203888265289346,2.9256860549160715,0.4082599646560523
5,2.124609144072695,0.7893055488453306,0.1439604029405891
6,-9.203579070207525,-4.131301928939516,0.340806255423054
7,-9.255051892365113,-5.386342301366925,0.5413337127235125
8,-6.166083403446464,-4.905911054975843,0.7440359751460508
9,-4.065545097679985,-4.030140072415303,0.8563376893529251
10,-2.519001534769554,-3.00675073681382,0.9032694920202801
11,-1.9292011192301288,-2.1416104993819167,0.9495456043496228
12,-0.8525483184764328,-1.1328409964367,0.9397501783340703
13,-0.2563954517752011,-0.25317907145493773,0.42694358081678385
14,0.8812971807126034,0.7162166536751249,0.6311932214422245
15,1.8798221127326542,1.5650528601911236,0.7825576577581255
16,2.6406146438799363,2.206905185844751,0.8248910825512678
17,2.191414738304567,2.407601014430397,0.8990586712460354
18,2.404704597835267,2.6791334888368508,0.897566377035842
19,3.5210909436623945,3.072916769073309,0.8593551049653068
20,4.257442185243755,3.150880571270126,0.7711765541798371
21,3.373154954194953,2.5095684719722913,0.7985666709094308
22,1.101866627146072,1.3616538856563383,0.9625019997765404
23,-0.34428940410920666,0.4344236858055717,0.16976108092309017
24,-1.5071343985899668,-0.1565435651258949,0.009643705609742814
25,-0.953584004071932,-0.017272331330869712,0.00024614753376361875
26,0.15458039726685716,0.49104596286908697,0.6738506491701028
27,1.453936503078564,1.110598022370185,0.59626395095033
28,1.9568763223262846,1.3684710462531895,0.4448548653329226
29,1.3533872999935608,1.0761530998434057,0.2724485819586664
30,1.4767596523880846,0.6077047479144574,0.07046146875413195
31,0.7447499359894729,-0.4714176601040432,0.037248204264957785
32,-0.7723770140747936,-2.244074870564172,0.5017711852821826
33,-4.036916551991063,-5.006496855513792,0.9565957031520086
34,-8.375873613352528,-8.319634779545297,0.9800806644226228
35,-14.159426315044584,-11.682082925175251,0.8974219137123879
36,-14.24025037989538,-13.024921886069475,0.9239772559734027
37,-15.332393337182761,-13.830773634956905,0.9200591520502661
38,-15.126353606372245,-13.65461862755867,0.9244044741439088
39,-13.517099624436273,-12.537013183886932,0.9404388050330086
40,-11.176960067127766,-10.779284110828092,0.9611943744758894
41,-8.305320766530972,-8.638457345126927,0.9811935235913968
42,-6.173357787169932,-6.575603872825591,0.9918378719981598
43,-3.954543841400664,-4.5291520222484705,0.9853902071111703
44,-2.248734397516403,-2.7015439400896106,0.9438015479806345
45,-0.5976478400187781,-1.0252614775627116,0.6099066608069388
46,0.9080919552183592,0.4630566809666343,0.19751825673355572
47,1.3713423358121872,1.573955827399165,0.8221323203725356
48,2.539230966642208,2.770897511893941,0.9264920074794931
49,4.528949144425757,4.074745701375079,0.9269567233724549
50,5.093133628151528,4.912518946551067,0.9598718471110083
51,5.358574996359104,5.552408279308966,0.974568644358273
52,5.984481564159588,6.2012170721646855,0.9765595908826162
53,7.008124832363267,6.866696325944989,0.9710477444414937
54,7.929607255532444,7.362642752362198,0.9583977352709496
55,7.168245416599087,7.265959239194719,0.9705670679691817
56,7.524687881452597,7.2656522085372774,0.9652669158648921
57,7.5222225479530085,6.9865355067036035,0.9557661333081078
58,6.136074219399104,6.159290399364243,0.968981799750865
59,5.30092011043871,5.303049450345099,0.9688409141200774
60,4.501036085145253,4.327420684791423,0.9597126529276252
61,3.5947440875586056,3.173596354690312,0.9225653296705842
62,0.9563290532644585,1.4685936481407509,0.8936996043749437
63,-1.349734725536369,-0.11067729503366586,0.008329715302587304
64,-0.9876888282697109,-0.9720714972937534,0.7992924950838821
65,-1.4971284411978039,-2.0971646221310394,0.7964179682413749
66,-2.748705730741546,-3.661969016305936,0.8800136540960266
