gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-1.2682002355572877,-1.3093147929494473,0.8273943170000558
2,-1.1881002994812662,-1.4192016776767367,0.8501631942736
3,-1.082278415621022,-1.4932519874731451,0.8504458018025778
4,-1.0243069610066413,-1.5602753027705216,0.8579812008623602
5,-1.1497056525271545,-1.6475752574370444,0.8779361858554569
6,-1.9698996184122735,-1.686736661432557,0.795956515421691
7,-1.4705875111351816,-1.55495025977046,0.7878122394048503
8,-1.0273807060339095,-1.3739165492153493,0.767268907935359
9,-0.7424205216008886,-1.194774282476826,0.7283980212218887
10,-0.5106459457586425,-1.0108525764960503,0.6821319325081332
11,-0.3010331438558751,-0.8466797509921815,0.6243965526186086
12,-0.20975191736361012,-0.7105563196282011,0.5561298184222463
13,-0.15378608296268795,-0.6028076048263864,0.4961101470471857
14,-0.20688804114461162,-0.5482016740033004,0.488708932659633
15,-0.3454960885404944,-0.5364427019568716,0.5313957714343658
16,-0.15600875174704926,-0.6319803893642454,0.7806294595079103
17,-0.4853712105471459,-0.701343552147692,0.9087700028030576
18,-0.591976676343893,-0.7456959852399125,0.9221803970749352
19,-0.4639164259931022,-0.7630985726729549,0.8886491122275737
20,-0.27014366377898114,-0.7840884963700459,0.8210321391896703
21,-0.5137005864527054,-0.7250438097575944,0.6606178849871708
22,-0.47222223280141407,-0.7842531560005066,0.6657921471976204
23,-0.4711175529776483,-0.8530220707677533,0.6849917010254127
24,-0.6199317193721072,-0.9182113810460584,0.7067581335288484
25,-0.588314536353846,-0.9393111012000062,0.7185590072969152
26,-0.5216496273515077,-0.9408383586902183,0.7328862909226647
27,-0.5340908504777871,-0.9544255456893419,0.752506718109275
28,-0.8331235020732493,-1.0388035943083485,0.8020449641846179
29,-0.8137675308324106,-1.245953214008275,0.926045737794714
30,-1.084013208716351,-1.3392499447414852,0.9596642473845597
31,-1.1671400412344155,-1.399661597986447,0.9666184461790643
32,-1.2908387490911992,-1.4904101378445471,0.978849217253637
33,-1.4248444228472181,-1.5745251198759322,0.9881057306841906
34,-1.669578248958078,-1.6895230466301436,0.9871144987890043
35,-1.8109588103561691,-1.7792908569179227,0.9767493403190424
36,-1.9308186524502162,-1.843066338535443,0.9661230041575282
37,-1.9935045095557142,-1.860425343411311,0.9603871437096118
38,-1.824534451848922,-1.7998040687509118,0.9687698275625701
39,-1.6798125423842065,-1.70276117557455,0.9748228976257128
40,-1.4998869962121717,-1.5719919007303071,0.9802515245511321
41,-1.3116544521503783,-1.4234112394969742,0.9819908552443165
42,-1.1331758436389463,-1.2752037674602728,0.9797821012322775
43,-0.9878394123201361,-1.1329435815977007,0.9747609826504801
44,-0.8846976153505238,-0.9998068655622506,0.9703660153309016
45,-0.7162381590783298,-0.8617025848406978,0.9565723358285676
46,-0.623567675997856,-0.7481344814355534,0.9446018841574088
47,-0.5833805513088919,-0.6460983113744436,0.9336340764871105
48,-0.4985473838498365,-0.5346895778018176,0.8990549809764853
49,-0.32995058901688024,-0.4066414373559706,0.820873537527838
50,-0.15141480628844875,-0.27770129147776695,0.6129908320653848
51,0.01339685136335902,-0.16057494974769637,0.27555885727287843
52,0.13019258151716712,-0.07072542441876958,0.054637456861236444
53,0.22060994618450422,-0.01583308668028604,0.002617960221018012
54,0.20361879275078537,-0.011284718734462173,0.0015471612890054498
55,0.12600901911200707,-0.048017284197826283,0.03749972445516292
56,-0.10412279795009453,-0.1274502756337145,0.3520093638892755
57,-0.1135039543768471,-0.17644834223625502,0.5810888190283829
58,-0.16718346445422866,-0.24007863498486107,0.7435221680204833
59,-0.2551689103907847,-0.31866071060835466,0.8471047331044195
60,-0.3515097909830729,-0.40887776786624025,0.8911667847538063
61,-0.40265803050142496,-0.49826806531264894,0.8956427576183876
62,-0.5872262191835034,-0.6192838466221268,0.9369314480478801
63,-0.6633210792047066,-0.7314760865530207,0.9415056010790681
64,-0.7435650728471046,-0.8597025954883679,0.9405603429965762
65,-0.8124563174755167,-1.011204365122816,0.9369147647287766
66,-1.0115851147640569,-1.2187484326788152,0.9582015207340566
67,-1.330915718133565,-1.4810169508752506,0.980878932221672
68,-1.662175932890841,-1.751122680104799,0.9916151212670976
69,-1.9900279215142291,-2.0227200180061256,0.9943913596569571
70,-2.2020045666232364,-2.2336691143099148,0.9948107357458983
71,-2.3848044433249926,-2.3975447658434113,0.9947050953371332
72,-2.4864818521474263,-2.516484678300115,0.9928182816410102
73,-2.4595127831309584,-2.5805418847956125,0.9910835627296216
74,-2.5477581980243484,-2.6491469065913886,0.9870839954268852
75,-2.6799798070566796,-2.7138421000755386,0.9808129568330812
76,-2.7799350126098945,-2.732603428428464,0.9712520035006339
77,-2.7679832707656713,-2.70726765217671,0.9609503416955306
78,-2.7771954702258883,-2.6257441588011905,0.946985392051029
79,-2.6143415453320813,-2.434175953764211,0.9326356393665125
80,-2.3831645477179335,-2.1798830375255047,0.9183864632461456
81,-1.9938786069560592,-1.820138289443585,0.8940113633249166
82,-1.6544512339058202,-1.4081940066782026,0.8298084169109411
83,-1.2488712974607552,-0.9572190388021415,0.5947444725654292
84,-0.8794644297267951,-0.48296434461403287,0.12623768764755416
85,-0.4211485841628928,-0.06267415105088761,0.0019941460018503276
86,-0.06519110156905299,0.24981917343050958,0.02639289580804005
87,0.19444652680776925,0.4324633871955686,0.06982315284944085
88,0.3449501486272311,0.4604698456293839,0.07903122336416624
89,0.482256674877226,0.3297943532885289,0.04132136354171689
90,0.6223897264922925,0.0025630487668475673,3.658944066509129e-06
