gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,8.867958700410393,6.9000122093383665,0.8228020106602548
2,7.291185413576646,6.306179816030644,0.8743582073216251
3,5.909742848893984,5.377423495275903,0.9079837254132909
4,4.626523219516977,4.317595230304772,0.9452094633770461
5,3.51101562871606,3.276703283076041,0.9764883742470829
6,1.5296439014021286,2.3693054460462033,0.8346697891105307
7,1.5090021428065614,1.8740392955831575,0.7480885827745317
8,1.3954229691250606,1.4649093545811132,0.6280233921168317
9,1.3652226237109062,1.2204006057398937,0.5582393279311912
10,1.2871043161762177,1.0476191872399336,0.5025093265273225
11,1.2736599863384461,0.9299012036916235,0.4738600300290813
12,1.2978683953976673,0.8631761703375765,0.4619008445877394
13,1.056992287079863,0.7440261160173117,0.4112106202241832
14,0.7365540096455204,0.5674744990396065,0.32226414762479727
15,0.31482374157595977,0.3568443309312429,0.19043734019565683
16,0.2240868470924917,-0.006713050290655108,0.00023945383891110783
17,-0.04959361256481186,-0.14534789980549195,0.3434451473055363
18,-0.21547099704093853,-0.25408804620612563,0.6763116529291536
19,-0.10044099044457003,-0.30767431951283214,0.6251411358524641
20,0.12771653586852544,-0.346833939343262,0.41104162220042795
21,-0.2370842242908111,-0.2324170664690464,0.10433204458964385
22,-0.17921679905729043,-0.3255997845736963,0.17216633308698037
23,-0.1674687683675334,-0.4138990844451715,0.24227319359071675
24,-0.23278317697661674,-0.47723147301163177,0.2859837221643897
25,-0.246573744154635,-0.4910885013907658,0.2982825707285597
26,-0.08825553394607207,-0.44204827130198965,0.26768025695223396
27,-0.197717851896024,-0.44590671864484593,0.2907442684400563
28,-0.5479363817270756,-0.5503601147988321,0.37154300238831894
29,-0.3667404022138986,-0.7987111577556503,0.7346259458997426
30,-0.8412427879211464,-0.9876969496596764,0.8639652594304618
31,-0.9030229317055013,-1.009704068374258,0.8944331249193102
32,-0.9867086524677039,-1.1230630612299786,0.9201883097565029
33,-1.208768451260377,-1.2632945268456153,0.9810513649140981
34,-1.5877705777581599,-1.4689355644821305,0.9901530953985723
35,-1.7217219998612043,-1.604806898593785,0.9803869381526041
36,-1.8787601105098344,-1.7319917242388236,0.9670369544960287
37,-2.0110032857940365,-1.80989256572057,0.956859723051048
38,-1.9690587769395538,-1.807238885819197,0.9625678794412174
39,-1.8406318801105175,-1.7179250876809078,0.9718708004165886
40,-1.5876524549568265,-1.5523446922235506,0.9866369662169114
41,-1.2971953921549877,-1.352813957909566,0.9943890777506154
42,-1.0880338715253726,-1.1679245567604473,0.9946573029980187
43,-0.9741095451310164,-1.0045447600528679,0.9971438100550375
44,-0.8123267717884508,-0.8300231784600913,0.9944038977415779
45,-0.5950773413638412,-0.6366109003353935,0.9719721845751891
46,-0.48541559754760655,-0.4892228135201841,0.9586529448947569
47,-0.4141582669057503,-0.35076942058131877,0.9029804851986554
48,-0.21025409607370552,-0.18701103683387868,0.6988089506907929
49,-0.051061387559976926,-0.04798445047422817,0.10772482281355389
50,0.07775459457661782,0.07528845928367096,0.19549510879955312
51,0.21371137721364772,0.18738705810668146,0.5476259413384942
52,0.20704080911543446,0.24233552853191756,0.6842949926326779
53,0.29706668933769315,0.29971020363161643,0.7542748988840107
54,0.23023606127883664,0.2940892423950273,0.7714283555760412
55,0.27780860520488204,0.2972536595960325,0.7733596340966955
56,0.25835940430079063,0.2757258247229075,0.7325757789298234
57,0.2520546866249528,0.24293963699802487,0.6409787894860236
58,0.1951504192880488,0.16920432083271322,0.4486843380487646
59,0.10423422909661895,0.06096216877157665,0.09853749349060359
60,-0.0651299808109148,-0.0832391477927342,0.217326905291646
61,-0.2284715394030822,-0.23363852058662546,0.7304624555597485
62,-0.5190378616384156,-0.4137096305251286,0.8987793628664074
63,-0.6193324413974811,-0.541739652828828,0.9336075582045851
64,-0.6592401894439328,-0.6559718374874108,0.9194761674392713
65,-0.7259507311837297,-0.7972500956529651,0.8910262222361538
66,-0.9392600527163657,-1.0146423387275003,0.9113837482853566
67,-1.3119388362750084,-1.3286377702736978,0.9449472497814607
68,-1.7000848365250931,-1.6607981783657046,0.9720309921652239
69,-2.1258333453800202,-2.0191436906210165,0.980870287294413
70,-2.291743206947623,-2.273841212257042,0.986152895601341
71,-2.558437786635815,-2.5036137681197848,0.9910770976906124
72,-2.6447183290257663,-2.6458129990492734,0.9951459600429725
73,-2.719917458033056,-2.7528875390075456,0.9971272181757062
74,-2.871371571412705,-2.8379531920260535,0.9990185032233205
75,-2.9701024172562547,-2.874727957463211,0.997655274429116
76,-2.984472126390366,-2.8735221936410262,0.9944499716028193
77,-2.80329231106303,-2.731911886311887,0.9918025901400821
78,-2.7590861337866954,-2.591007493442258,0.9842904035286117
79,-2.579917031678893,-2.3142950642387103,0.9699262825621948
80,-2.156944451884296,-1.8964625514686886,0.9494344783186762
81,-1.677998128642035,-1.371209695066734,0.8538719188166694
82,-1.1400791879025616,-0.7687426866422453,0.4865178917241497
83,-0.6644987179281868,-0.15703258963508418,0.015306783996021922
84,0.04580339138231336,0.3332227796142716,0.02324692681555862
85,0.7241848733962927,0.9681737850719977,0.13428201948830498
86,1.2276513602842638,1.4928124594267234,0.23256035008841225
87,1.741719256932681,1.9222319160255474,0.3067140039621197
88,2.1148370185681933,2.175744031463771,0.35235158021704305
89,2.4835190818883865,2.237497712161681,0.35676975363481633
90,2.9379513698193995,2.2234595607367624,0.42472326357801193
