gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,3.9927035644203506,2.949546010818957,0.7247973625631992
2,3.2507763608062823,2.6058927450617855,0.7510768501809214
3,2.5920360056821403,2.0956931458122754,0.7588804860177571
4,1.9312166567951863,1.5133800856422417,0.7841865177051262
5,1.3441003420618602,0.9543695993467214,0.8040795371535717
6,-0.19423676365399192,0.49043981427553535,0.20269717546532928
7,0.14830146254046536,0.3854184892552525,0.1361918311875484
8,0.3356875089446995,0.3101331725293998,0.08794364564921786
9,0.5488873263980817,0.3398649990891058,0.11105783836566852
10,0.6653338248712056,0.38669724959367074,0.14733552786487625
11,0.8053989570904118,0.4410601458917305,0.19873913031053236
12,0.949416801501424,0.5068628125793181,0.25854582945564875
13,0.8007190923721542,0.4878924714030822,0.25762470601050735
14,0.5501429579431455,0.3857072868901807,0.1997757924313489
15,0.18071103384889803,0.22950223743041598,0.09600900633177001
16,0.12945686427584796,-0.0945095117105914,0.05039138396885401
17,-0.11488133964901083,-0.20485809495054705,0.5155736647973558
18,-0.261018813948015,-0.2942805136204357,0.7162700612306936
19,-0.13170783607503317,-0.3344567658704373,0.6486416381422019
20,0.10660823680258805,-0.36443895561719036,0.4347161246987613
21,-0.25124071555325955,-0.24388075502559212,0.11421566535902827
22,-0.18858416678852205,-0.3329746756694084,0.17970193481597885
23,-0.17358976598071812,-0.4185891574665876,0.24746237678878946
24,-0.23673302084781817,-0.4801797235350198,0.2892495727778055
25,-0.24909243278164336,-0.4929214861001463,0.30031644003534275
26,-0.0898434125950059,-0.4431758474788745,0.2689254542343531
27,-0.19870806497939547,-0.4465932664954698,0.2915076746631663
28,-0.5485483739394112,-0.5507743426646206,0.37190360631195074
29,-0.36711305304587377,-0.7989580846001518,0.7347260361702571
30,-0.8414674136763226,-0.9878427579265682,0.8639512902341341
31,-0.9031570124199269,-1.0097893886604141,0.8944165687587711
32,-0.9867879011762852,-1.1231125348708098,0.9201796827677642
33,-1.208814841430337,-1.263322961201822,0.981047793771786
34,-1.5877974785633862,-1.4689517660541676,0.990153226950949
35,-1.7217374553323939,-1.6048160519933132,0.9803876498468035
36,-1.8787689111079868,-1.731996853410095,0.9670375996079505
37,-2.0110082537220086,-1.8098954170921313,0.9568601559648301
38,-1.969061557994012,-1.8072404588282165,0.9625681177110305
39,-1.840633424705889,-1.7179259491977203,0.9718709234783256
40,-1.587653306289862,-1.55234516076571,0.9866370200892207
41,-1.2971958580630079,-1.3528142110783792,0.9943890963087643
42,-1.0880341249430785,-1.1679246928008347,0.9946573075613886
43,-0.974109682631024,-1.0045448330202782,0.9971438097744739
44,-0.8123268470761624,-0.8300232179884959,0.9944038953618964
45,-0.5950773845483387,-0.6366109228003715,0.9719721811268074
46,-0.48541562624593226,-0.4892228283952558,0.9586529413670106
47,-0.41415829298408163,-0.35076943417165535,0.9029804827733461
48,-0.21025413010647753,-0.1870110548424841,0.6988089569841792
49,-0.051061442928585166,-0.047984480250791786,0.10772491748926116
50,0.07775449686193626,0.07528840595755663,0.19549481789210987
51,0.21371120121330023,0.18738696070963012,0.5476255017210658
52,0.20704049195618218,0.24233535054304056,0.6842943829180084
53,0.297066120877519,0.29970987996607534,0.7542740297419371
54,0.23023505035416747,0.2940886580313661,0.771426787883375
55,0.27780682243454585,0.2972526125731321,0.7733567007201227
56,0.25835628844846986,0.2757239639090917,0.732569787589898
57,0.2520492928392092,0.24293635828447754,0.6409661894811328
58,0.195141175104644,0.16919859496715764,0.4486560875531127
59,0.10421855164012024,0.06095226088685162,0.0985014293506109
60,-0.06515626612820467,-0.08325612519769543,0.2173673059837251
61,-0.22851505773477193,-0.233667310587896,0.7304463899220403
62,-0.5191088655430056,-0.4137578957703422,0.8987579791323825
63,-0.6194462114222655,-0.5418195018245994,0.9335735155466351
64,-0.6594182289012939,-0.6561018839136521,0.9194299680908298
65,-0.7262202019511668,-0.7974578378695693,0.8909798880937603
66,-0.9396466260925861,-1.0149655533835145,0.9113292545907626
67,-1.3124403732007133,-1.3291211674783583,0.9448888348737303
68,-1.7005925926076608,-1.6614745346559772,0.9719802368777319
69,-2.1259131787123158,-2.0199697292318874,0.9808488423839444
70,-2.2900546194685893,-2.2745122801860282,0.986176390117314
71,-2.5512167250647377,-2.5030581058426398,0.9911930887959461
72,-2.6218553971626273,-2.640853905870944,0.995391416679075
73,-2.719205571754823,-2.756938384806699,0.9971187358397691
74,-2.8547357005288307,-2.8390883239653895,0.9989677565441618
75,-2.9762587891470633,-2.887175769610336,0.9977761881225872
76,-3.004612032857819,-2.8955865621024657,0.9947877130114904
77,-2.833131749658995,-2.76395778187937,0.9924097591775214
78,-2.80499248585355,-2.637713338823892,0.9856311962622918
79,-2.642608736924298,-2.379051977929604,0.9726100030771923
80,-2.240938544250509,-1.9847706020586762,0.9546295868798946
81,-1.7890457829036157,-1.4898474290891826,0.8730572969955466
82,-1.2852322925642252,-0.9257645126988495,0.5761010715258046
83,-0.8522064129736984,-0.36163128653415855,0.07569388061321214
84,-0.19448439499878337,0.07106558115714978,0.0010748956525050701
85,0.41937052435787336,0.638249362311472,0.06332186291628572
86,0.8444815592014753,1.0856657908321203,0.14014066042078732
87,1.2641085700708052,1.431253908965749,0.2026161884700366
88,1.5240834028767754,1.5991926143847417,0.238174952522213
89,1.757885651342024,1.5826680828743966,0.2333148727975506
90,2.0622359145293427,1.5128118552874328,0.2887423812731925
