gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,3.737513991749568,2.8477175528651575,0.753608407471731
2,2.807903494427072,2.444105413185348,0.7830244204079223
3,2.4195223707834623,2.0854004793513936,0.775700390714619
4,1.9214722548890026,1.6618248540608487,0.7794935020436505
5,1.210748781588336,1.156527048436525,0.812863057736175
6,-0.21059987704925984,0.4643736492490387,0.34755785767190217
7,-0.37456935223053733,0.17072799695487345,0.0910183021867863
8,-0.16673262052842933,0.07013274763585814,0.04361808498359032
9,-0.09746426778838213,-0.021116444962731046,0.010653293189422652
10,-0.0682629565030116,-0.06139974042056557,0.18636621731596537
11,-0.10854616980590695,-0.08888713908891814,0.5587460366013388
12,-0.031730548133964476,-0.061253434483037876,0.626042589878193
13,-0.05785084664187577,-0.04195958501534611,0.48696047208390947
14,0.02819730626548075,0.01323535029064849,0.029442626918654624
15,0.12330585937745907,0.07079089901439921,0.22826536851953483
16,0.1533234923938705,0.10184748334059762,0.305471549158555
17,0.07589716910829988,0.09647007930227332,0.31463843141567893
18,0.0818509667764634,0.10012102778730976,0.26817156236770145
19,0.20341752002605062,0.12329058811269157,0.23303680951673333
20,0.1934978316235824,0.09113578859071718,0.12048580569188938
21,0.07584382992406193,0.009639786080193629,0.00228405403255294
22,-0.1675181160019617,-0.11294763524439229,0.4352932949017567
23,-0.3267366855948889,-0.2309752185754801,0.8141441593783966
24,-0.5042663557847585,-0.32279102379021557,0.8020243799696423
25,-0.45129399499962475,-0.3298182825357868,0.8709583455042991
26,-0.3144869940253037,-0.28358229710212446,0.7329181573742105
27,-0.18916169043287873,-0.23469399661139043,0.46511727655027424
28,-0.18193861595279617,-0.22144078854232782,0.38257977910348895
29,-0.22632230602409567,-0.23998858897442887,0.3887186088770075
30,-0.18236090441171524,-0.2596059411343819,0.3738118724202544
31,-0.20801040289357584,-0.35040770019967504,0.4962302487419219
32,-0.3478960220258419,-0.5240412697345836,0.7333344920613056
33,-0.6613239631638602,-0.7864478024389515,0.9489747631077579
34,-1.1442492201101362,-1.114558841620256,0.9953990583850221
35,-1.668181144042137,-1.4298628209740447,0.9442620838932569
36,-1.6987101448606023,-1.561428594272945,0.9549441044662352
37,-1.8261131160249664,-1.6443556116581939,0.9474467225528718
38,-1.7853696699312422,-1.6168648077744636,0.951840037613968
39,-1.5842726000763443,-1.4886213633699692,0.9683267020833329
40,-1.3524749678524262,-1.3063876855095444,0.983837869052628
41,-1.0353921894671398,-1.076540126975857,0.9958789974250167
42,-0.7970916746752275,-0.8565992577588566,0.9947029736667877
43,-0.5769115054436043,-0.6476302260228706,0.9741044367837134
44,-0.44832424464779513,-0.4721813880089967,0.9439749898600327
45,-0.22293011466782836,-0.2882015612129133,0.7729986986750135
46,-0.07944687207847372,-0.1385246961096344,0.4165883526713082
47,-0.07289286326444458,-0.035828348222443074,0.06636321856686644
48,0.05300827616676023,0.08715632140939868,0.2804086525291791
49,0.2740737408329161,0.22421220922016014,0.6008301297864159
50,0.3228560076106857,0.30526677446475087,0.7586138778002945
51,0.3752855775891086,0.3761767611351084,0.82259980818129
52,0.42240978398643036,0.4355771411429502,0.8516808829145792
53,0.5353680773876996,0.5031061858817845,0.8523502127793008
54,0.5881542004348635,0.5438204511758207,0.8527101294044648
55,0.5732886056675852,0.5547026099735896,0.8589785713717872
56,0.5902053753010738,0.5539911104507275,0.8494232642651502
57,0.5736868468176388,0.5237917213888705,0.8328747996662719
58,0.4786930343759325,0.45391677134808045,0.8215921300104159
59,0.38764147646465325,0.3673014917484135,0.7881288769127155
60,0.2721485328385305,0.258271104863162,0.7039410054188173
61,0.19908744693176622,0.14163548434727186,0.4028919670073883
62,-0.10441595292260379,-0.041031774614346504,0.1331603535020074
63,-0.34277264965346277,-0.20673741661878986,0.6744049688140874
64,-0.3059693280720239,-0.30134435756516553,0.8802713801373085
65,-0.316770537386349,-0.41186786810530057,0.8366735908829023
66,-0.4721844921189456,-0.5782780607510948,0.9043606283863995
67,-0.7437553063455198,-0.7932061303268005,0.9746292964247412
68,-1.0052386798202602,-1.0076355040193024,0.9950613591728873
69,-1.2818653159573452,-1.2277902646255021,0.9982565583552988
70,-1.5179498973170016,-1.4488905360369944,0.9975599227906667
71,-1.771308767978553,-1.6600489428315257,0.9948696443817174
72,-1.8961470976503603,-1.8099146044385552,0.9972132628701347
73,-1.9139090320448824,-1.9277206247087764,0.9971305406864973
74,-2.0655986266244457,-2.0548901959291537,0.996866024040866
75,-2.1802107873555934,-2.1529272550137977,0.9946282193836026
76,-2.448838937781667,-2.265898772263898,0.9855741128471345
77,-2.531767606779925,-2.2716692142525488,0.9772026485645093
78,-2.488361202263929,-2.188917355374507,0.9720205240308428
79,-2.0598013298500257,-1.9494887003600785,0.9862149084892058
80,-1.7450107262377839,-1.6722080987706724,0.9903053279769473
81,-1.5596157630360332,-1.3919849664629351,0.9813510725580721
82,-1.0365160569270822,-0.9781036174556841,0.9772803286727465
83,-0.6880766824763539,-0.5623008198459687,0.9107314459305637
84,-0.2214396429542051,-0.12348548480582353,0.20347092443781933
85,0.27786851183061245,0.35463219742214114,0.5074413019747446
86,0.6523654493941129,0.7773910812061645,0.7258572014881728
87,1.1053353581584295,1.1650141362096522,0.7497002013375195
88,1.4679182759056337,1.447522038690905,0.7144286284683447
89,1.83996693665657,1.5947012007785086,0.6274604440955709
90,2.2639540213853513,1.5366081495719812,0.4585022454372265
