parameter,period,scenario,wave_asymmetry,status,variance_explained,mean_bias_interior_m_yr,rmse_interior_m_yr
asymmetry,1996-2010,natural,0.3,scored,-0.4950186353193837,-0.5473445219482095,1.4357674344287492
asymmetry,1996-2010,natural,0.4,scored,-0.3372293480862156,-0.4990924528446556,1.3578873586702729
asymmetry,1996-2010,natural,0.5,scored,-0.2117880892961541,-0.499094828015027,1.29262971497264
asymmetry,1996-2010,natural,0.6,scored,-0.0443640066712001,-0.4704153119929371,1.2000151898008868
asymmetry,1996-2010,natural,0.7,scored,0.0193674121786511,-0.4668687179407689,1.1628239181628814
asymmetry,1996-2010,natural,0.8,scored,0.0565632331195932,-0.4443788169259642,1.1405575248715132
asymmetry,1996-2010,natural,0.9,scored,0.0101786326073899,-0.4534788600383475,1.1682591949637375
asymmetry,1996-2010,full_management,0.3,scored,-0.1526003295227103,-0.0468622150277546,1.2606663631341122
asymmetry,1996-2010,full_management,0.4,scored,-0.042718624805135,-0.0483736820778539,1.1990695130416091
asymmetry,1996-2010,full_management,0.5,scored,0.0203289361415041,-0.0511019330059996,1.1622536957960905
asymmetry,1996-2010,full_management,0.6,scored,0.1041454904003739,-0.0459882282315637,1.1114234035961348
asymmetry,1996-2010,full_management,0.7,scored,0.1212424874783086,-0.0763168082155268,1.100766796239392
asymmetry,1996-2010,full_management,0.8,scored,0.1693219403300809,-0.0443707751845131,1.0702301102566816
asymmetry,1996-2010,full_management,0.9,scored,0.1612865797246871,-0.0534502611879005,1.0753939568353263
asymmetry,2010-2024,natural,0.3,scored,-10.158954948171232,-4.600074004452527,4.891140023931974
asymmetry,2010-2024,natural,0.4,scored,-10.016332470065697,-4.55306576862599,4.859782704427327
asymmetry,2010-2024,natural,0.5,scored,-9.964320421737336,-4.544097188384657,4.848296744324966
asymmetry,2010-2024,natural,0.6,scored,-9.565577657661034,-4.42626563648695,4.7593205579828615
asymmetry,2010-2024,natural,0.7,scored,-9.701327686744268,-4.444009738905639,4.789797636244463
asymmetry,2010-2024,natural,0.8,scored,-10.080590062567616,-4.467950944137905,4.873935503748747
asymmetry,2010-2024,natural,0.9,scored,-10.066726096828695,-4.454969811366452,4.870885430416473
asymmetry,2010-2024,full_management,0.3,scored,-2.005928814404934,-1.7335942596056209,2.538561444154328
asymmetry,2010-2024,full_management,0.4,scored,-1.9349073104822967,-1.753858372011458,2.508392704088897
asymmetry,2010-2024,full_management,0.5,scored,-1.937625538636217,-1.795730058548031,2.5095540364463336
asymmetry,2010-2024,full_management,0.6,scored,-2.003568542874254,-1.8341373966435648,2.537564602360126
asymmetry,2010-2024,full_management,0.7,scored,-2.14853584714791,-1.879177586885896,2.598080809461365
asymmetry,2010-2024,full_management,0.8,scored,-2.124418414377237,-1.869698880696436,2.5881111768478826
asymmetry,2010-2024,full_management,0.9,scored,-2.104847432449224,-1.873431914579848,2.579992634600772
