parameter,period,scenario,wave_angle_high_fraction,status,variance_explained,mean_bias_interior_m_yr,rmse_interior_m_yr
high_angle,1996-2010,natural,0.1,scored,-3.4410778690499857,-1.370555924234501,2.474599891567721
high_angle,1996-2010,natural,0.2,scored,-2.0148556874898187,-1.1403052869034866,2.038891239256996
high_angle,1996-2010,natural,0.3,scored,-0.9145031947680904,-0.8654230627985791,1.6247585955586354
high_angle,1996-2010,natural,0.4,scored,-0.031442410588053,-0.5632873840572914,1.192568373556525
high_angle,1996-2010,natural,0.45,scored,0.0565632331195932,-0.4443788169259642,1.1405575248715132
high_angle,1996-2010,natural,0.5,scored,0.0183979913016609,-0.3824055220648677,1.1633985407788072
high_angle,1996-2010,natural,0.55,scored,0.0086973377261968,-0.3590298964979103,1.1691330341520978
high_angle,1996-2010,full_management,0.1,scored,-1.9644728949018764,-0.7469765740184028,2.0217829857128686
high_angle,1996-2010,full_management,0.2,scored,-1.018606389229678,-0.5768549367586527,1.6683478933389069
high_angle,1996-2010,full_management,0.3,scored,-0.2664645886931331,-0.3860468724971616,1.3214700390592435
high_angle,1996-2010,full_management,0.4,scored,0.1049069926530544,-0.179754030822642,1.1109509321464013
high_angle,1996-2010,full_management,0.45,scored,0.1693219403300809,-0.0443707751845131,1.0702301102566816
high_angle,1996-2010,full_management,0.5,scored,0.1007739737951112,0.0218830293965604,1.1135128407995265
high_angle,1996-2010,full_management,0.55,scored,0.0746641244579638,0.0440765543417056,1.129563097406992
high_angle,2010-2024,natural,0.1,scored,-14.860986649633764,-5.364594435286911,5.8312738007032445
high_angle,2010-2024,natural,0.2,scored,-12.81475204946032,-5.082226818775301,5.442142146152172
high_angle,2010-2024,natural,0.3,scored,-11.573913039157665,-4.877860583797072,5.191986566663219
high_angle,2010-2024,natural,0.4,scored,-10.38972184777286,-4.573160188018199,4.941455548711606
high_angle,2010-2024,natural,0.45,scored,-10.080590062567616,-4.467950944137905,4.873935503748747
high_angle,2010-2024,natural,0.5,scored,-9.79578114630303,-4.383718783894414,4.810889367353634
high_angle,2010-2024,natural,0.55,scored,-9.968432328046664,-4.411057790356591,4.849205778011061
high_angle,2010-2024,full_management,0.1,scored,-4.082715187123683,-2.297714887804529,3.3010052962475585
high_angle,2010-2024,full_management,0.2,scored,-3.388770054459276,-2.2190417046323705,3.067395297207228
high_angle,2010-2024,full_management,0.3,scored,-2.708583033914433,-2.0845103971529166,2.819696319782238
high_angle,2010-2024,full_management,0.4,scored,-2.3461457610594363,-1.9710288496075952,2.678371169757276
high_angle,2010-2024,full_management,0.45,scored,-2.124418414377237,-1.869698880696436,2.5881111768478826
high_angle,2010-2024,full_management,0.5,scored,-2.0132531499671824,-1.799412301758114,2.5416523296269
high_angle,2010-2024,full_management,0.55,scored,-2.0169586379725355,-1.7875749128097176,2.5432146226227035
