parameter,period,scenario,hs,status,variance_explained,mean_bias_interior_m_yr,rmse_interior_m_yr
wave_height,1996-2010,natural,0.65,scored,-10.960100593377286,-3.356349948018247,4.060955324319997
wave_height,1996-2010,natural,0.75,scored,0.0804301630095326,-0.4178490280076353,1.126038278722766
wave_height,1996-2010,natural,1.0,scored,0.0565632331195932,-0.4443788169259642,1.1405575248715132
wave_height,1996-2010,natural,1.25,scored,0.0859194014980898,-0.4953338692472757,1.1226723872328752
wave_height,1996-2010,natural,1.5,scored,0.0129338233957956,-0.5580854647191352,1.1666321236120285
wave_height,1996-2010,natural,2.0,scored,-0.5356731971025388,-0.6931921499737765,1.4551581556123023
wave_height,1996-2010,natural,2.5,scored,-2.1233146524968967,-0.9940024239909268,2.07524160093922
wave_height,1996-2010,natural,3.0,scored,-5.33245568955767,-1.3875929853011335,2.954927809529399
wave_height,1996-2010,full_management,0.65,scored,-6.4415950090407845,-1.945892710908757,3.2032719514134578
wave_height,1996-2010,full_management,0.75,scored,0.1241585393222766,0.0173854915721727,1.0989388969956833
wave_height,1996-2010,full_management,1.0,scored,0.1693219403300809,-0.0443707751845131,1.0702301102566816
wave_height,1996-2010,full_management,1.25,scored,0.1504674612849226,-0.1236122136101133,1.0823078401061608
wave_height,1996-2010,full_management,1.5,scored,0.1187085800633807,-0.206751626547773,1.1023526906976813
wave_height,1996-2010,full_management,2.0,scored,-0.2540155473768997,-0.4231189861576422,1.314959133577499
wave_height,1996-2010,full_management,2.5,scored,-1.4066308800767438,-0.7033437075665667,1.8216525161141568
wave_height,1996-2010,full_management,3.0,scored,-3.7914921776247943,-1.0435501149593491,2.570373216939972
wave_height,2010-2024,natural,0.65,scored,-28.241785669592133,-7.326491954307869,7.917722539204049
wave_height,2010-2024,natural,0.75,scored,-12.231325161647376,-4.771840275311103,5.325985811217416
wave_height,2010-2024,natural,1.0,scored,-10.080590062567616,-4.467950944137905,4.873935503748747
wave_height,2010-2024,natural,1.25,scored,-8.366698842718202,-4.034763775239319,4.481171987171021
wave_height,2010-2024,natural,1.5,scored,-8.205406658551416,-4.028975357856608,4.442422123165888
wave_height,2010-2024,natural,2.0,scored,-8.86184288500137,-4.218416533322811,4.598089003879801
wave_height,2010-2024,natural,2.5,scored,-9.387504206954924,-4.237643035914066,4.719043060719284
wave_height,2010-2024,natural,3.0,scored,-10.120307081063746,-4.07997347986912,4.882662702901403
wave_height,2010-2024,full_management,0.65,scored,-18.20157968588369,-4.374941074521167,6.416036314609526
wave_height,2010-2024,full_management,0.75,scored,-2.634850861057667,-1.860512883551188,2.791525710068503
wave_height,2010-2024,full_management,1.0,scored,-2.124418414377237,-1.869698880696436,2.5881111768478826
wave_height,2010-2024,full_management,1.25,scored,-1.9698504731792177,-1.9178945301139003,2.523281048402185
wave_height,2010-2024,full_management,1.5,scored,-2.190070945782146,-2.0221872712770192,2.615161444268874
wave_height,2010-2024,full_management,2.0,scored,-2.378575192161,-2.13061315624977,2.691318695845845
wave_height,2010-2024,full_management,2.5,scored,-3.2712854424733786,-2.358719135715277,3.0260606745599845
wave_height,2010-2024,full_management,3.0,scored,-4.666150708173257,-2.614145218018304,3.4853178839170664
