hs,wave_angle_high_fraction,period,status,variance_explained,mean_bias_interior_m_yr,rmse_interior_m_yr
0.75,0.3,1996-2010,scored,-0.4396658052077784,-0.6778747646745863,1.408937214091263
1.0,0.3,1996-2010,scored,-0.9145031947680904,-0.8654230627985791,1.6247585955586354
1.25,0.3,1996-2010,scored,-1.5836720797954116,-1.0498495629856417,1.8874675401480607
1.5,0.3,1996-2010,scored,-3.070557329483965,-1.3609690458062569,2.369123678526073
2.0,0.3,1996-2010,scored,-9.984568471806051,-2.1843377850664147,3.891815968584095
0.75,0.4,1996-2010,scored,0.0014045672483541,-0.4904560233143408,1.1734256661064375
1.0,0.4,1996-2010,scored,-0.031442410588053,-0.5632873840572914,1.192568373556525
1.25,0.4,1996-2010,scored,-0.1827337501772923,-0.7117135858935941,1.2770393820067152
1.5,0.4,1996-2010,scored,-0.5146574733237463,-0.831324859416991,1.4451669185069456
2.0,0.4,1996-2010,scored,-2.269767903021608,-1.2336099188851737,2.123338618918331
0.75,0.45,1996-2010,scored,0.0804301630095326,-0.4178490280076353,1.126038278722766
1.0,0.45,1996-2010,scored,0.0565632331195932,-0.4443788169259642,1.1405575248715132
1.25,0.45,1996-2010,scored,0.0859194014980898,-0.4953338692472757,1.1226723872328752
1.5,0.45,1996-2010,scored,0.0129338233957956,-0.5580854647191352,1.1666321236120285
2.0,0.45,1996-2010,scored,-0.5356731971025388,-0.6931921499737765,1.4551581556123023
0.75,0.5,1996-2010,scored,0.0319420384106204,-0.3621586509785171,1.1553444330229208
1.0,0.5,1996-2010,scored,0.0183979913016609,-0.3824055220648677,1.1633985407788072
1.25,0.5,1996-2010,scored,0.1243789582591176,-0.3607282039240191,1.0988006058801367
1.5,0.5,1996-2010,scored,0.1022443633340485,-0.3758051051813471,1.112602075625593
2.0,0.5,1996-2010,scored,0.0515441373289849,-0.3815623808417244,1.1435873908704215
0.75,0.55,1996-2010,scored,0.0191566001997899,-0.3460672696572346,1.1629489007716036
1.0,0.55,1996-2010,scored,0.0086973377261968,-0.3590298964979103,1.1691330341520978
1.25,0.55,1996-2010,scored,0.0857557789025175,-0.3070248651558105,1.1227728632470102
1.5,0.55,1996-2010,scored,0.0926861869312017,-0.306930919174244,1.1185091903199418
2.0,0.55,1996-2010,scored,0.077130695264114,-0.2123733229069432,1.128056613870913
0.75,0.3,2010-2024,scored,-13.871307932811009,-5.186054455283043,5.646416591135672
1.0,0.3,2010-2024,scored,-11.573913039157665,-4.877860583797072,5.191986566663219
1.25,0.3,2010-2024,scored,-11.647089193068984,-4.869567906462297,5.2070725006262775
1.5,0.3,2010-2024,scored,-12.87872199621184,-4.98992232506144,5.454727658353701
2.0,0.3,2010-2024,scored,-16.88509193259766,-5.226333729535074,6.192184990267164
0.75,0.4,2010-2024,scored,-12.534593786884082,-4.91262406956277,5.386677148782429
1.0,0.4,2010-2024,scored,-10.38972184777286,-4.573160188018199,4.941455548711606
1.25,0.4,2010-2024,scored,-9.145059963102918,-4.313072703244466,4.663646705882153
1.5,0.4,2010-2024,scored,-9.844348639655063,-4.477502813481316,4.821698712104709
2.0,0.4,2010-2024,scored,-10.853123996129035,-4.5999478662260005,5.040977368878783
0.75,0.45,2010-2024,scored,-12.231325161647376,-4.771840275311103,5.325985811217416
1.0,0.45,2010-2024,scored,-10.080590062567616,-4.467950944137905,4.873935503748747
1.25,0.45,2010-2024,scored,-8.366698842718202,-4.034763775239319,4.481171987171021
1.5,0.45,2010-2024,scored,-8.205406658551416,-4.028975357856608,4.442422123165888
2.0,0.45,2010-2024,scored,-8.86184288500137,-4.218416533322811,4.598089003879801
0.75,0.5,2010-2024,scored,-12.21123662507568,-4.738502797032442,5.321941170929115
1.0,0.5,2010-2024,scored,-9.79578114630303,-4.383718783894414,4.810889367353634
1.25,0.5,2010-2024,scored,-8.06586270388358,-3.941213456995559,4.408622397976335
1.5,0.5,2010-2024,scored,-7.787366271890059,-3.924803617824962,4.3403794475095
2.0,0.5,2010-2024,scored,-7.855133047632872,-3.9644217644428905,4.357083463816976
0.75,0.55,2010-2024,scored,-12.294599564936997,-4.744127546933168,5.338705498575451
1.0,0.55,2010-2024,scored,-9.968432328046664,-4.411057790356591,4.849205778011061
1.25,0.55,2010-2024,scored,-8.030903857954806,-3.9195700178291175,4.400114150106433
1.5,0.55,2010-2024,scored,-7.691236890434054,-3.893627271801957,4.31657337429375
2.0,0.55,2010-2024,scored,-7.3934676116069955,-3.858797836569832,4.24198416866703
