gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,0.08299184943434738,0.019574792572248447,0.004383209537641153
2,-0.46422335137222037,-0.30912103502925165,0.3307487385570007
3,-0.5456219283005339,-0.4848184681175491,0.506833755472958
4,-0.6130106331854221,-0.5768950623752955,0.5243131407371966
5,-1.0772655563745501,-0.6369918567600961,0.40687130422544915
6,-0.8706455323959744,-0.9381613456553813,0.9453269314793273
7,-0.7790754111453679,-0.8088623991081193,0.9902200153283667
8,-0.5158236778624087,-0.6489962450253622,0.9730431740988001
9,-0.386500746699312,-0.5216218614182474,0.9446342035364182
10,-0.3414039088937898,-0.42760049584148835,0.9419188867196367
11,-0.3940485229873957,-0.3676580829510739,0.9589147003237741
12,-0.2953156225976272,-0.28489700672137913,0.9283100111346858
13,-0.2423109534633113,-0.21234865440935793,0.8533675114789837
14,-0.13830112735931835,-0.13273239699328374,0.5973970733487816
15,0.04797835203080467,-0.04747110514603214,0.07634297760196329
16,0.16790253154858875,0.0070362747831795485,0.0010695409917121923
17,-0.05414971668860744,-0.01757902874628116,0.0167224259857921
18,-0.08076314358931995,-0.023468577257767874,0.0324499505417164
19,0.0428106933244635,-0.010493302842992838,0.005504309057316026
20,0.08078823052173903,-0.02467966407401655,0.022268693350050106
21,-0.005919220336818398,-0.07903677123267262,0.2722834387404871
22,-0.12894895279932825,-0.15196372446236642,0.7723701211022489
23,-0.24875210160689676,-0.22760954808279854,0.9502550667225379
24,-0.4073674424876117,-0.30376075310836687,0.9269467110190746
25,-0.4116863315293813,-0.33438045328138266,0.9575796640786496
26,-0.3801704476261875,-0.3467202779023517,0.9653622478761062
27,-0.26309347180804254,-0.33734801351776283,0.881304552093428
28,-0.2860773255726599,-0.3563389466549823,0.8556536305711504
29,-0.29616373779117566,-0.3867156462357608,0.8264954186079985
30,-0.2703695122509998,-0.42187940551707726,0.7999479247850484
31,-0.35548821531174324,-0.5045791928587688,0.8678667258046517
32,-0.47958483275833713,-0.6148510055814758,0.9403783604276489
33,-0.6990782295776625,-0.7651045466603847,0.9934068510519797
34,-0.9830939618271259,-0.938844118451538,0.9937369239627267
35,-1.1365732313354784,-1.081031910246779,0.9800214455255873
36,-1.3453293449601915,-1.2114407101012759,0.9593875536327263
37,-1.5139197209065969,-1.298829858496803,0.9406504604682684
38,-1.4888055389203145,-1.3066192110493353,0.9443314049579586
39,-1.39867868651545,-1.2555237895115752,0.9546397387892142
40,-1.221744860140825,-1.1484403816116129,0.9717231186446841
41,-1.0041192670143573,-1.0070749702067754,0.9873970749562944
42,-0.8029948256305033,-0.8585211147722019,0.9942909811765034
43,-0.6324645482286542,-0.7171643765781645,0.9917750856914971
44,-0.5698666146282448,-0.599531821792639,0.9952313072747092
45,-0.43379732005305416,-0.47392673994246454,0.9826103794157875
46,-0.3210604178569156,-0.3605863437117346,0.9551907254174994
47,-0.24909159467943026,-0.2614689790834086,0.915646713083621
48,-0.15127927283238024,-0.16392176394898159,0.7724820915664623
49,-0.06342019830472054,-0.07520090751740138,0.3744949662356998
50,-0.014809400263584394,0.0035548513026958874,0.00126210295058371
51,0.06787711793713243,0.08421613919843139,0.3564793599476723
52,0.16058154052871032,0.16010971984735847,0.596464819967496
53,0.2598339139637574,0.22445561788916452,0.6682043501238955
54,0.22651136682789003,0.25164483109888736,0.7394907351868054
55,0.3024564737299443,0.2810884096480576,0.7461829282013293
56,0.3867006221365045,0.29593418645473235,0.6963089590092242
57,0.29941572074303624,0.2613026225526657,0.7126647886786739
58,0.21036649697307439,0.207078048689827,0.6753146814951914
59,0.20988418124488817,0.1544619589619124,0.5229200329331775
60,0.05151638468341844,0.06483620369263103,0.24717894155642106
61,-0.008905193084410712,-0.015253574930958679,0.019853619896471386
62,-0.1531147963612966,-0.11308501542498538,0.5622994770942045
63,-0.2040484565260158,-0.1979505166690361,0.7737042788449418
64,-0.20601188652672137,-0.2821551486741547,0.7937709141513505
65,-0.29847922418048256,-0.39833155379816043,0.8591941453811051
66,-0.38381323667654216,-0.5378926517020396,0.898303818662306
67,-0.6268513221980356,-0.7324832451316755,0.9724944583666735
68,-0.9712748411498978,-0.9713260882718574,0.9995118637659428
69,-1.277076100292834,-1.2065011625598823,0.9950763408269956
70,-1.441381800815816,-1.4065895668599866,0.9941937285141166
71,-1.6453231910199975,-1.5975622982100908,0.9910397061939241
72,-1.844051564545498,-1.7638687636875099,0.9884568724586436
73,-1.971073324311328,-1.8909316085455434,0.9885772416302311
74,-1.968348428844547,-1.9664766314815094,0.9919623003405945
75,-1.959860842028047,-2.0222693221365886,0.9932947115583421
76,-2.01075667389332,-2.0730353304571456,0.9929954077508079
77,-2.1213792044386537,-2.1220234570797594,0.9912386946097718
78,-2.348828537087684,-2.1771679949885674,0.9834022704693332
79,-2.3123639447231654,-2.1393373275470555,0.9839260761760453
80,-2.1749551775406872,-2.05570997309703,0.9892774815471788
81,-1.9564721103587543,-1.923657314270741,0.9962040702497905
82,-1.7931008842964729,-1.791776036165723,0.999247142535387
83,-1.5742647008047244,-1.6456319749755735,0.9964255731680347
84,-1.5423798132542288,-1.5505139431342698,0.9925019580286507
85,-1.495699395351585,-1.4757307661059371,0.9828269260357217
86,-1.37485764910507,-1.418363594882975,0.9635876641811385
87,-1.3182744815031584,-1.4156470323714845,0.9406644921461582
88,-1.4389663577960163,-1.502807322216969,0.9356434791243585
89,-1.5527970854631348,-1.6540560827061341,0.9329113488503584
90,-1.7746926274511678,-1.8945655730790592,0.9410203471843531
