gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.240416509646301,3.2288792593903506,0.7660628478916588
2,3.208115365897746,2.7696921104403898,0.7951679728304532
3,2.731051145420549,2.342081086173623,0.7873386684958461
4,2.162849448828638,1.846642786963599,0.7909036866792715
5,1.363118906849065,1.2903358300566217,0.8164313161460968
6,-0.13514892724807787,0.5508032011689322,0.40936102234433125
7,-0.3758131870021576,0.20290549215882972,0.1178024296839627
8,-0.1963090564331651,0.058563480764046806,0.030287698893565085
9,-0.11441949021264008,0.001357150085595725,4.1577270144310674e-05
10,-0.06598495182827589,-0.033166242297634214,0.05873429674160413
11,-0.09825576387304734,-0.06135450156344761,0.35328015730821416
12,-0.018487965960568026,-0.037243555327090436,0.35873018661972556
13,-0.0445956109099695,-0.022479594894262475,0.2163311951141762
14,0.03981127269915825,0.02817075534279768,0.13238984173603896
15,0.13248666320526223,0.08161590321975892,0.29329846422310835
16,0.15977570206814562,0.10911397809211267,0.3432307302808465
17,0.07946526711215743,0.10063890599034372,0.3379456677716828
18,0.0819720646886708,0.10134834123208879,0.2731491393004536
19,0.1977615722904115,0.12103655817084726,0.22359634863441658
20,0.17359068058768962,0.08295766591672012,0.09756347436255364
21,0.020587016894881214,-0.021151534611902098,0.00861257768087742
22,-0.16952819302267536,-0.1261649022208693,0.5252511884281915
23,-0.31049947950850765,-0.2229154428684267,0.8534335330174279
24,-0.4804273332542185,-0.31839888017417267,0.8244163770027794
25,-0.4512314190017475,-0.3500018252762864,0.8983113175602968
26,-0.332880251815238,-0.34980684510461096,0.8030229902680781
27,-0.21551711275216284,-0.30251087407215377,0.5686075532989832
28,-0.2277942575241728,-0.2721449593162684,0.44553653467290766
29,-0.3165739002275326,-0.30007078997210485,0.4361000406321467
30,-0.28435352428550686,-0.3370768724964222,0.425822763760037
31,-0.33212003960592745,-0.42107784381967306,0.5193581219054103
32,-0.41061984890568837,-0.5572107815705507,0.7310918596055411
33,-0.6929217015963981,-0.8040782229206468,0.9457638005223558
34,-1.161338816276189,-1.1241766165849236,0.9959044177357774
35,-1.6776206105580838,-1.4351344304414897,0.9453966947111077
36,-1.70391620886338,-1.5643119793322784,0.9555290373556606
37,-1.8289607125864547,-1.6459285279949536,0.9477785338638743
38,-1.786916522453274,-1.6177229083555527,0.9520170359127612
39,-1.5851105187462704,-1.4890910039809828,0.9684136752766185
40,-1.3529296460162317,-1.3066461775701055,0.9838775797773607
41,-1.0356402534475169,-1.076683376445332,0.995891173761272
42,-0.797227982817016,-0.8566791314848622,0.9947020770983849
43,-0.5769868860622539,-0.6476749239637279,0.9740975362693743
44,-0.4483659299437152,-0.47220631081067777,0.9439659470401758
45,-0.22295270779626922,-0.2882151269542272,0.7729950970422164
46,-0.07945808580500723,-0.1385314282999411,0.41659783701424047
47,-0.07289648913384943,-0.03583048416858739,0.06636902571151726
48,0.05301090498232952,0.08715803525744058,0.28042066434715507
49,0.2740831561997246,0.2242182214378125,0.6008549643272338
50,0.3228745674453291,0.3052787857324576,0.7586485240786107
51,0.3753178509758592,0.37619809426181683,0.8226446481474574
52,0.4224633336610038,0.43561346090441116,0.8517408163342153
53,0.5354546782808549,0.5031666726682325,0.852433594242995
54,0.5882914256425076,0.5439195116144072,0.8528331990194551
55,0.5735017650771884,0.5548623182250741,0.8591686783442157
56,0.5905292933143106,0.5542443639456691,0.8497257635382565
57,0.5741665045843547,0.52418595099858,0.8333791719892434
58,0.4793812959325286,0.45451776129259364,0.822487026777775
59,0.38858998138766765,0.368195712475215,0.7898333637278152
60,0.2733844784113119,0.2595628341319823,0.7076633272105419
61,0.20056573830152047,0.14343289104155899,0.4109488129242286
62,-0.10290373055535643,-0.038654267581562964,0.12105587136300333
63,-0.3417585302653866,-0.20382092333585644,0.6674706774806174
64,-0.3065805670318826,-0.2982027307933751,0.8763737932520466
65,-0.32123436699865643,-0.4093834703617015,0.831961491210344
66,-0.485049624203644,-0.5785068888840795,0.8994292913656128
67,-0.7758678668819162,-0.8008511488083196,0.9687218265442815
68,-1.0706820230032983,-1.035031459978884,0.9873631886674323
69,-1.390747920348596,-1.290559822926463,0.9897853967329583
70,-1.6743630927576305,-1.5491378946930099,0.9876420367764774
71,-1.9404850707526617,-1.745218847936411,0.9902660679558329
72,-2.0471348358512063,-1.896516556090048,0.9923470650735847
73,-2.0762887110798016,-2.007038668473358,0.9927996988987613
74,-2.226478514046903,-2.1378284320466148,0.9938503270407659
75,-2.341059612283321,-2.251226785845952,0.9941050396515625
76,-2.6545478870975785,-2.401799996517375,0.9900730442459361
77,-2.8012918160642846,-2.489869250216584,0.9853993681775475
78,-2.860508094992188,-2.4827879816444876,0.9813336766136749
79,-2.5710604566919364,-2.34169553581483,0.9828538256181536
80,-2.3457748431624816,-2.16266156854423,0.9710583958711214
81,-2.206300970166012,-1.9516423518181873,0.9639943498257105
82,-1.7395665823557596,-1.5957086391574942,0.9514328054417011
83,-1.3746435618153814,-1.2345094620912815,0.9221171722767751
84,-0.9783447356377499,-0.8477774485185282,0.8750822054852989
85,-0.5460920903276149,-0.4998285069084328,0.6679453156704012
86,-0.32773386649374253,-0.24684107948319983,0.28371235004786666
87,-0.0902689675237655,-0.04809542096797493,0.009596475496723156
88,0.002577003896736382,0.04649060203177163,0.0058916383674539885
89,0.05137576700573326,0.03392204137588203,0.0019551581531501716
90,0.10641490847176881,-0.11639821593857333,0.013169696244455631
