gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-0.0557058162778828,0.2673337207620918,0.35389460422307484
2,-0.2415486781497488,0.06477243865715467,0.04181599723429974
3,-0.015834782593758843,-0.02364638475900358,0.005132892742098383
4,-0.0034498297999172273,-0.18811279366869807,0.17984229813045094
5,-0.3073490754774996,-0.44633184405118353,0.689297162199932
6,-1.4177398675615873,-0.8874429244334656,0.7321432762080053
7,-1.3368546786062194,-0.9378065164485853,0.8193281505275395
8,-0.9327820863168849,-0.8169409914692858,0.9339754873764157
9,-0.7021698460178284,-0.7142235919305856,0.9798869785885184
10,-0.5423775025224781,-0.593265461416163,0.9864834397408139
11,-0.4748090082855145,-0.4902153858473732,0.9878317672164106
12,-0.31065795497787413,-0.35893376194371734,0.9302501955412974
13,-0.2673104096403612,-0.25914082295418556,0.8607656491751072
14,-0.12692814631152163,-0.14278878064960066,0.5237693341373423
15,0.010104367784281618,-0.0395749198840613,0.048343520327686296
16,0.0719950649473893,0.02500076440445124,0.017332657908210147
17,0.018314089721181,0.04373059430720047,0.0629603273115309
18,0.04164583885332312,0.06441643496738583,0.10903040183101764
19,0.17571582520706994,0.0994261759256242,0.15059016841165607
20,0.17465945262431756,0.07538371690462237,0.08064877601358067
21,0.06319889218307903,-0.0006295478306646015,9.218372128860786e-06
22,-0.17589761755113745,-0.11956205380979887,0.44635400895555855
23,-0.33222096037284893,-0.23518614860494658,0.8128350988023214
24,-0.5078105313240096,-0.32544030771277277,0.8028678847801493
25,-0.4535566063087962,-0.3314662807933397,0.8703064854028265
26,-0.3159143857502776,-0.2845962510841532,0.7324438663375878
27,-0.19005173011620563,-0.23531118039724244,0.46551707411713983
28,-0.18248726806918317,-0.2218125299526825,0.3829093472289221
29,-0.22665679962197569,-0.2402102443728175,0.38889542673268185
30,-0.18256264591920107,-0.259736810279456,0.3739182346603632
31,-0.20813083823070752,-0.35048424988009885,0.49626894180776226
32,-0.347967182661705,-0.5240856278936238,0.7333355656509292
33,-0.6613655829692756,-0.7864732683355337,0.9489709324581724
34,-1.144273328702054,-1.1145733334075176,0.9953999484658813
35,-1.668194980363426,-1.4298709983483209,0.9442638571166795
36,-1.6987180174272518,-1.5614331724146375,0.9549450396334578
37,-1.826117556015171,-1.6443581541442656,0.947447265209095
38,-1.7853721531498326,-1.6168662089906336,0.9518403322249896
39,-1.5842739779313237,-1.4886221300226448,0.9683268482578045
40,-1.3524757268267942,-1.3063881021795247,0.9838379358004146
41,-1.0353926051494844,-1.0765403522528256,0.9958790178870485
42,-0.7970919020663132,-0.8565993794498429,0.9947029723789379
43,-0.5769116316931624,-0.6476302927405219,0.9741044255808612
44,-0.44832431945165546,-0.47218142705108435,0.9439749740627554
45,-0.22293016828526951,-0.28820158894129994,0.772998688245961
46,-0.07944692662178048,-0.1385247243504213,0.41658838767040474
47,-0.07289294115071243,-0.03582838898188162,0.06636332673270962
48,0.05300814363818063,0.08715625115411067,0.28040814206377684
49,0.27407350190229146,0.22421208092959463,0.6008295755860169
50,0.32285557139584853,0.3052665372405107,0.7586131557412956
51,0.3752847826040774,0.37617632311678767,0.8225988280290826
52,0.4224083440470037,0.4355763369159783,0.8516794620054488
53,0.5353654884079982,0.5031047192115311,0.8523480392771854
54,0.5881495832491055,0.5438177962829673,0.8527065529989231
55,0.5732804400679795,0.5546978408854297,0.8589722895123955
56,0.5901910604943623,0.5539826120179988,0.8494118641815314
57,0.5736619833863058,0.5237767049452505,0.8328528990542061
58,0.478650255176035,0.4538904656499367,0.8215461950752335
59,0.38756857334023415,0.3672558101184845,0.7880233309121171
60,0.27202552048025347,0.25819249091221763,0.7036570435976437
61,0.19888196098548047,0.1415014330613429,0.40217028017014567
62,-0.10475566441112148,-0.04125819980475887,0.13403680093134962
63,-0.3433281808247557,-0.20711607140122792,0.674718439617742
64,-0.306867746143975,-0.30197115352331055,0.8797940059435853
65,-0.31820749792119124,-0.4128949009882855,0.836455644948284
66,-0.47445665602429343,-0.5799431432795769,0.9040305505604805
67,-0.7473061691169798,-0.7958762440562839,0.9741952986185649
68,-1.0107219412351955,-1.0118694383602804,0.99470627063161
69,-1.2902273483983404,-1.2344247363098764,0.9981222149553178
70,-1.5305445946001524,-1.4591633698508593,0.9975901056371361
71,-1.7900516094750856,-1.6757696525011756,0.9951263680394941
72,-1.9237199533187908,-1.8336971257876742,0.9974629355573934
73,-1.9538679386434004,-1.9632233369349636,0.9972658851459776
74,-2.122763231817771,-2.107151790383372,0.997376391981931
75,-2.253460753582268,-2.226207318454912,0.9961074925268548
76,-2.5613954044514946,-2.374655798153496,0.9896667023037906
77,-2.6792511108524195,-2.422797703501389,0.9844831033498379
78,-2.692835859992296,-2.4011673188901064,0.9826306669764114
79,-2.3372965674556587,-2.2424621103131037,0.9941633475011062
80,-2.121683683420997,-2.072330518976748,0.9961977229313984
81,-2.0550455464864563,-1.926851154163021,0.9927948198607744
82,-1.6820023000479654,-1.6824969664300853,0.9878884057387672
83,-1.522200974215983,-1.4750103038448683,0.9782432058306032
84,-1.2803362045654336,-1.2847187113955338,0.9595849706513828
85,-1.062754953975205,-1.0983428476933397,0.9234203494674017
86,-1.0211125486318582,-1.0028764996910966,0.9062549181441069
87,-0.9739918275371175,-0.9667489047221212,0.8752526124103485
88,-1.096302489336787,-1.0321005938497518,0.8690503493436383
89,-1.2948166876243963,-1.1869446925086553,0.8631719478143308
90,-1.5210426958014327,-1.4362409294552474,0.8526884760615211
