gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,8.775359346447269,6.8246087934181,0.8181372368231917
2,7.1733744172023375,6.204259047253363,0.8674017105679906
3,5.7543733989753365,5.237522832491007,0.8975065869706558
4,4.421386154214425,4.123816970171684,0.9309476699440045
5,3.223026960088256,3.0022102188671336,0.9630324105456859
6,1.121560779581679,1.9765934816051218,0.8006279106529751
7,0.9410688342820451,1.3182042129503464,0.6733326848327826
8,0.6220639581171261,0.6870109075814235,0.37612121574354496
9,0.3218282151717306,0.14116426834254955,0.02853019175994853
10,0.07044201912607864,-0.2303303945562237,0.08680529488716571
11,-0.07591841645911959,-0.46464002368713364,0.307549305249486
12,-0.2569882369812798,-0.7342482119112068,0.48609225204923456
13,-0.6193811661118421,-1.001972559187634,0.6503858662985532
14,-1.0592630139709789,-1.2796682621765356,0.7696599020328412
15,-1.5828904119047624,-1.5572957597150168,0.8042536933423952
16,-1.7070864923120357,-1.9626886355574562,0.8744612682080877
17,-1.9538039624614092,-2.040726630264067,0.8625277527849544
18,-1.912876027173817,-1.9042818089366114,0.8584084178878413
19,-1.5026719442559104,-1.6398639675357158,0.8480263876018317
20,-0.9051048832119964,-1.3480119492570874,0.8211310274840332
21,-0.9770238607362833,-0.9387653680061882,0.6448339956338582
22,-0.716577679522743,-0.8237881673911183,0.6123730822703313
23,-0.5621437999096608,-0.7685730378270239,0.5729700969179412
24,-0.5336264750586841,-0.7386056962207477,0.5328383791756708
25,-0.49483457628022215,-0.6997318869322667,0.4993677285558853
26,-0.3205121629876625,-0.6330052642672659,0.4543344897482322
27,-0.45012792909944566,-0.6529526898638118,0.4828745228493626
28,-0.8618679642683803,-0.8107133184548161,0.5419507561433998
29,-0.781296540866346,-1.1535011697447286,0.7888028220109067
30,-1.4166520336155892,-1.4945362509642524,0.8415827787597631
31,-1.7050468235746459,-1.7430732422266593,0.8541254713357204
32,-2.118438153979306,-2.1848658681858613,0.8700018667221245
33,-2.5353696424495604,-2.48981757608219,0.9136021768170088
34,-3.03229512233325,-2.7604359456273895,0.9446246946798049
35,-3.2208600379460353,-2.9117413361215934,0.9515475902906051
36,-3.3735584266859013,-2.9994905123260005,0.9583157073436891
37,-3.445149676811265,-3.0093007513136767,0.9631544024572262
38,-3.3344175246271073,-2.929301657304466,0.9669532131009622
39,-3.092742708974064,-2.727461380173855,0.96583529676765
40,-2.7887003329092943,-2.524231391154571,0.9609109683264182
41,-2.553365905262061,-2.4086449763524924,0.9431497020191817
42,-2.5077032568000766,-2.4120334654597624,0.9219026487015523
43,-2.5429401801038694,-2.435238164261085,0.9042473236416803
44,-2.5779693715454153,-2.4634650580471207,0.8758315509466844
45,-2.604284637962597,-2.5069280628497137,0.8412390061040294
46,-2.6696707696007382,-2.5517385513647053,0.8298392109641872
47,-2.782632335202964,-2.6152797047100305,0.8226667862015277
48,-2.7362404791639556,-2.6127655891096193,0.8042572853944469
49,-2.7628277982414926,-2.6553013254564704,0.7982880741948333
50,-2.739616961667707,-2.671912706420275,0.8070021881738818
51,-2.6290111277962103,-2.6343631001959027,0.8211024393664386
52,-2.6382566124587226,-2.604030644695299,0.8351450038424789
53,-2.489013446537683,-2.494514710934555,0.8211697928930548
54,-2.4581201750580868,-2.3912071109317328,0.8056748817662327
55,-2.284054567676581,-2.225222987043123,0.7659856589266667
56,-2.178634672062409,-2.089076497450108,0.7295810491290495
57,-2.0171102287197624,-1.9327017689122337,0.6970595389554042
58,-1.8442751883940218,-1.7602724932539362,0.6766517109968974
59,-1.7484705793303874,-1.6431877101974017,0.6706288261465929
60,-1.7050789635708756,-1.5637125246067562,0.6905748014577278
61,-1.704368532520935,-1.530074598624607,0.7211544681349829
62,-1.8848203425230687,-1.6100928826526222,0.7764409584682324
63,-1.9327799635333835,-1.6872142182739795,0.8038122197075703
64,-1.9129493343407376,-1.7829463137770698,0.8207849388301979
65,-1.9131201499194503,-1.9018873941170675,0.8302953554798078
66,-2.036068888025511,-2.0587486475556744,0.8600325368891104
67,-2.246400955720414,-2.2230236940240404,0.8960064658463271
68,-2.354728661730925,-2.27746046716145,0.9367984600996166
69,-2.570364836439304,-2.4364594515356837,0.9610255659296718
70,-2.6047039862371872,-2.561097248310421,0.9734678831164411
71,-2.7539144450321538,-2.694096706372576,0.9842861075794024
72,-2.778820410155796,-2.7801655586393808,0.9915357319580146
73,-2.843776718832487,-2.864115824631149,0.9950329804626132
74,-2.9602252374753726,-2.9298815932170577,0.9985651882339931
75,-3.0761597217931143,-2.9750946341731734,0.9981811928605052
76,-3.1115797094768953,-2.9925685886418485,0.995797041130398
77,-2.9596232833539813,-2.8814889866533293,0.9936707146421451
78,-2.96517052829066,-2.788237317674459,0.9879162171860424
79,-2.853462308721386,-2.576989040635219,0.9763736046543807
80,-2.524325434847534,-2.247810194793818,0.9595142008997796
81,-2.173937438077831,-1.8407432512709765,0.8934377233963031
82,-1.8064047021077516,-1.3932662249381782,0.7032836964893523
83,-1.5427084321107551,-0.9800252643487058,0.32479363314555054
84,-1.1075673998570241,-0.739002315164463,0.08914420036871606
85,-0.6136444826553478,-0.3390664474583175,0.015808385044724704
86,-0.22200798852463777,0.0411117469302586,0.00019404451473126194
87,0.27412335626935863,0.40860296219404724,0.016276452793296037
88,0.7153436847424278,0.7107961781315553,0.04481285931934276
89,1.2037549336250126,0.9164769631245235,0.07045406162572398
90,1.8589425749006685,1.1323570134168157,0.13279222846215333
