gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.71382169597955,-4.7352363171541505,0.8672233471451578
2,-5.428391148028095,-4.829896277747467,0.8966498248719884
3,-4.769523809770726,-4.620425887628407,0.9262714751634988
4,-4.190505287646465,-4.257581293374109,0.9419394584908589
5,-4.074567955215935,-3.834729464558088,0.9385644676851018
6,-3.363539500029674,-3.649728799928765,0.9929093095374321
7,-2.8470418793594945,-3.0999479664833913,0.9959415133393855
8,-2.227532713560959,-2.577953581911545,0.9867121436641387
9,-1.9052518883382619,-2.1676815967919363,0.9838116911569498
10,-1.7244793709613078,-1.840742548253675,0.9878851306121438
11,-1.6009961648372155,-1.5667353572415588,0.9903815052559937
12,-1.3225154722997103,-1.2855871699616042,0.9876721172566081
13,-1.0768691791478886,-1.0260933547633067,0.9812237776213661
14,-0.7828663042269909,-0.7729036779062562,0.9623527660122105
15,-0.4321918593162991,-0.529986996308306,0.8737353699890253
16,-0.16790611937685754,-0.33190049105848435,0.6527440517173912
17,-0.2607301809714954,-0.22435337387702428,0.6858884593037948
18,-0.16832410029364836,-0.10596020163018822,0.3779724218133319
19,0.06880054032644693,0.027259595203780167,0.03605105274944542
20,0.21944833758898313,0.13310418760052758,0.4234953319339688
21,0.24888839135392118,0.20198013248833757,0.7427165174969809
22,0.2496540221086434,0.25821998070590496,0.9057264706346644
23,0.2524420031047157,0.31770608388213545,0.9375914019442685
24,0.23196926946066015,0.3863151557774615,0.8979268734884188
25,0.38539715998758767,0.5104442196486522,0.9332554113781159
26,0.5987522050783809,0.6612906141586836,0.9301962157848872
27,0.9255300419365995,0.836193123980105,0.886131442657702
28,1.103783381293215,0.9680760037375941,0.8534156315724033
29,1.2764307802498478,1.0602015825686837,0.8152504165294876
30,1.421228995902584,1.1000400868367228,0.7774435707259175
31,1.3665286784015733,1.0325056937129593,0.7552352333387609
32,1.1660877571839592,0.8710444068434859,0.7432455461848239
33,0.7755949830371719,0.6119099362406301,0.7560925900140392
34,0.28351204337159286,0.29225846252344523,0.7739112107608435
35,-0.09702415158708391,-0.024327086759356673,0.08591785672392849
36,-0.505698150752869,-0.33023440020734707,0.7270197331459645
37,-0.8506283910925049,-0.5861130801120259,0.7737769549236592
38,-0.982242792503348,-0.7542897797602264,0.8427620511065467
39,-1.0329403363841265,-0.8533210539450491,0.8968360768656998
40,-0.984034034360775,-0.8876600225237538,0.9467908197210715
41,-0.8874791536014527,-0.8815191217360986,0.9809632629476049
42,-0.8021526158812776,-0.8641272129745889,0.9929373853293324
43,-0.7462983371071459,-0.8530194506834662,0.9910243018669398
44,-0.8012038652101182,-0.8683165629391921,0.9949946071969521
45,-0.8026216056899103,-0.882594728537814,0.9939772224097956
46,-0.8383103816561743,-0.915258940725936,0.9956068585211533
47,-0.929358203909942,-0.9674623559022923,0.9987732529853337
48,-1.012356963575985,-1.021009774897368,0.9966878476751488
49,-1.1094271151249813,-1.0753264766613466,0.9890959108749642
50,-1.2238347791446358,-1.1169420871975069,0.9753583116090343
51,-1.2447331935682997,-1.1173017009386186,0.9672330982587115
52,-1.1837703604099261,-1.074870851125257,0.9679392446752105
53,-1.0522383587009245,-0.9884387517163712,0.9743321283649025
54,-0.9971275448051529,-0.8949481045132239,0.9749427379495678
55,-0.7837973409477854,-0.7531364492440633,0.9924342823575577
56,-0.5318866530540618,-0.598178944960007,0.9892641937565192
57,-0.4319854828298958,-0.47608943233244344,0.9878141117425492
58,-0.3393363070300438,-0.3661875373668349,0.9676052611851582
59,-0.1725535818895878,-0.2541420642833757,0.840096637133344
60,-0.17424699886751113,-0.18084972885435704,0.8094028459162859
61,-0.08482176318502752,-0.10033005128131817,0.5022088239919156
62,-0.08219452674275089,-0.039368471773607076,0.11845521898975309
63,0.0014891457865815027,0.031683357048321766,0.05424449071639115
64,0.13819225917568473,0.10406485578564145,0.2488326466606091
65,0.19293475663425852,0.14623888382661374,0.3017236638615245
66,0.266088075110838,0.16615957482506244,0.2666433815360616
67,0.19571139218005557,0.12784644800584047,0.1639045546963669
68,0.039449808165863944,0.034304143783656954,0.0141338723807376
69,-0.07721437736827283,-0.07941684210387855,0.0627136297128007
70,-0.10211855915313209,-0.21056190943255165,0.25626548930455195
71,-0.2361242235391728,-0.40367986478632284,0.5110875225613076
72,-0.47262651133696637,-0.6606489940235272,0.7330164116876394
73,-0.7655353908656253,-0.9740535442381151,0.8720623555164886
74,-1.0901272442924892,-1.3458580001423535,0.9415913184633093
75,-1.518056013572732,-1.7676431193607058,0.9815781491846123
76,-2.0887007970108242,-2.253738171526689,0.9968979672122129
77,-2.7166212889681445,-2.756057365244817,0.9929213623139957
78,-3.4648574240328345,-3.2542106986956068,0.9768562037774091
79,-3.929710503999286,-3.6377104402551685,0.9653620552137095
80,-4.216359570349232,-3.897101948638874,0.9592078573572246
81,-4.3205416971271005,-4.025454360982125,0.9578302129891334
82,-4.337666662693027,-4.01609556244601,0.9570828247775566
83,-4.160277806158229,-3.8677186800786143,0.960558508969146
84,-4.0048162030142525,-3.6273497428062296,0.9639162837967032
85,-3.6323948195475166,-3.2426480192081555,0.9722854057416707
86,-2.992906237784882,-2.744575393722181,0.990117530748357
87,-2.2273008933227176,-2.1966199470475685,0.9925051194900721
88,-1.4806317107081668,-1.670127915930736,0.9030260458521622
89,-0.6043781714414763,-1.20830490072057,0.6046420666121493
90,0.2526277477746589,-0.9140799594231191,0.2945836153187541
