run_name,timestamp,start_year,end_year,source_sink_preset,be_nonzero_domains,be_values_digest,be_rate_gis1_m_yr,be_rate_gis90_m_yr,scenario,scenario_overridden,groin_enabled,groin_trapping_m_yr,roadway_management,relocations_enabled,beach_dune_management,nourishment_fills,bdm_domains,nourishment_projects,Hs_m,rslr_m_yr,annual_states,run_complete,mean_bias_m_yr,rmse_m_yr,mean_bias_interior_m_yr,rmse_interior_m_yr,nourishment_ok,roads_drowned,roads_reloc_blocked,groin_extent_updrift_m,groin_extent_downdrift_m,runtime_min,use_sandbox_cascade,topo_product,topo_dune_version,git_commit,git_dirty,rate_estimator,lrr_r2_median,lrr_r2_below_floor,endpoint_mean_bias_interior_m_yr,endpoint_rmse_interior_m_yr,sandbags_on,groin_deterioration_f
HAT_1984_2004_calibBE_noroad_bdm_groin,2026-08-31 11:28:18,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,beachdune_only,False,True,60.0,False,False,True,True,29,0,2.5,0.004,21,True,-0.2021051216674091,0.5725648277521774,-0.1907231378924199,0.568950604489932,True,0,0,6500.0,2500.0,1.5,True,1984-start,v1,734c0b54915d,True,lrr,0.9289291340027654,14,-0.1467459351128401,0.5068403536717306,False,0.6
HAT_1984_2004_calibBE_noroad_bdm_nogroin,2026-08-31 10:55:55,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,beachdune_only,False,False,,False,False,True,True,29,0,2.5,0.004,21,True,-0.1907676701973404,0.563355603615421,-0.1854125468690881,0.5628614728264846,True,0,0,,,1.5,True,1984-start,v1,734c0b54915d,True,lrr,0.932077221997627,14,-0.1427415524051727,0.5040106813407101,False,
HAT_1984_2004_calibBE_noroad_nobdm_groin,2026-08-31 11:21:00,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,natural,False,True,60.0,False,False,False,False,0,0,2.5,0.004,21,True,-0.3379057122699666,0.6535975651982642,-0.3283673611182151,0.6504670271439065,True,0,0,6000.0,2500.0,2.3,True,1984-start,v1,734c0b54915d,True,lrr,0.9310614932649584,23,-0.2546933443733869,0.5634708766223007,False,0.6
HAT_1984_2004_calibBE_noroad_nobdm_nogroin,2026-08-31 10:50:07,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,natural,False,False,,False,False,False,False,0,0,2.5,0.004,21,True,-0.3279328765177188,0.647403175164165,-0.3243794549143509,0.6470166062281806,True,0,0,,,1.4,True,1984-start,v1,734c0b54915d,True,lrr,0.9346875511413348,23,-0.2511886641753371,0.5625609783594848,False,
HAT_1984_2004_calibBE_road_bdm_groin,2026-08-31 11:30:17,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,True,60.0,True,False,True,True,29,0,2.5,0.004,21,True,0.0184175243753475,0.5409164755371814,0.0291812331128785,0.542418868237196,True,0,0,5500.0,2500.0,1.4,True,1984-start,v1,734c0b54915d,True,lrr,0.9354816700011056,14,0.0333251243436181,0.4894310183585031,False,0.6
HAT_1984_2004_calibBE_road_bdm_nogroin,2026-08-31 10:57:49,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,False,,True,False,True,True,29,0,2.5,0.004,21,True,0.0341257653353357,0.5179651882779616,0.0388896024916259,0.5225774956706127,True,0,0,,,1.4,True,1984-start,v1,734c0b54915d,True,lrr,0.9346811238845372,13,0.0438093629687433,0.4728656728878342,False,
HAT_1984_2004_calibBE_road_nobdm_groin,2026-08-31 11:24:14,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,roadway_only,False,True,60.0,True,False,False,False,0,0,2.5,0.004,21,True,-0.1238629666406032,0.5643203208784989,-0.1149869469692824,0.565345959841298,True,0,0,5500.0,2500.0,1.8,True,1984-start,v1,734c0b54915d,True,lrr,0.9225593077522746,21,-0.0795235104373613,0.5025619133497904,False,0.6
HAT_1984_2004_calibBE_road_nobdm_nogroin,2026-08-31 10:51:59,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,roadway_only,False,False,,True,False,False,False,0,0,2.5,0.004,21,True,-0.109947260852808,0.5446376056917631,-0.1070320993155955,0.5485941167027123,True,0,0,,,1.3,True,1984-start,v1,734c0b54915d,True,lrr,0.9283631696536584,20,-0.0704607388052517,0.4884155371031748,False,
HAT_1984_2004_calibBE_road_reloc_bdm_groin,2026-08-31 11:32:16,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,True,True,60.0,True,True,True,True,29,0,2.5,0.004,21,True,0.0188638160606634,0.5410791599406745,0.0296197650555272,0.5425959402270804,True,0,0,5500.0,2500.0,1.4,True,1984-start,v1,734c0b54915d,True,lrr,0.9354888500427868,14,0.0337753524403136,0.489521138983066,False,0.6
HAT_1984_2004_calibBE_road_reloc_bdm_nogroin,2026-08-31 10:59:44,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,True,False,,True,True,True,True,29,0,2.5,0.004,21,True,0.034533804552833,0.5181299215603298,0.0392890172355207,0.5227559793287465,True,0,0,,,1.4,True,1984-start,v1,734c0b54915d,True,lrr,0.9346859456911264,13,0.0442335261451991,0.4729749432232086,False,
HAT_1984_2004_calibBE_road_reloc_nobdm_groin,2026-08-31 11:26:14,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,roadway_only,True,True,60.0,True,True,False,False,0,0,2.5,0.004,21,True,-0.1239433338303522,0.5643990202854953,-0.1150538013056526,0.5654137932132016,True,0,0,5500.0,2500.0,1.4,True,1984-start,v1,734c0b54915d,True,lrr,0.9225577682343336,21,-0.079408846481176,0.502643214219642,False,0.6
