parameter,period,scenario,wave_period_s,status,variance_explained,mean_bias_interior_m_yr,rmse_interior_m_yr
wave_period,1996-2010,natural,6.0,scored,0.11580349915336,-0.4912886543168016,1.104168088485667
wave_period,1996-2010,natural,7.0,scored,0.1255973400670377,-0.4943228662471728,1.0980358774001784
wave_period,1996-2010,natural,8.0,scored,0.0565632331195932,-0.4443788169259642,1.1405575248715132
wave_period,1996-2010,natural,10.0,scored,-1.8101400312384284,-1.195984765039457,1.9684517606870424
wave_period,1996-2010,natural,12.0,barrier drowned (height/width) in year 4,,,
wave_period,1996-2010,full_management,6.0,scored,0.1499867968456985,-0.1011819651740295,1.0826139810143711
wave_period,1996-2010,full_management,7.0,scored,0.1383011567834621,-0.0809014336636846,1.0900302501079375
wave_period,1996-2010,full_management,8.0,scored,0.1693219403300809,-0.0443707751845131,1.0702301102566816
wave_period,1996-2010,full_management,10.0,scored,-1.1487745614473877,-0.821390418819819,1.72129862753187
wave_period,1996-2010,full_management,12.0,barrier drowned (height/width) in year 4,,,
wave_period,2010-2024,natural,6.0,scored,-12.45501255440979,-4.902491564162019,5.370817404020158
wave_period,2010-2024,natural,7.0,scored,-10.341092128183355,-4.496625501471339,4.930895209805171
wave_period,2010-2024,natural,8.0,scored,-10.080590062567616,-4.467950944137905,4.873935503748747
wave_period,2010-2024,natural,10.0,scored,-11.981676493287962,-4.843278185587507,5.275501185988007
wave_period,2010-2024,natural,12.0,barrier drowned (height/width) in year 4,,,
wave_period,2010-2024,full_management,6.0,scored,-2.378872866628124,-1.9655326894305736,2.6914372545825183
wave_period,2010-2024,full_management,7.0,scored,-2.1309315494874266,-1.9047587822070544,2.5908073493580384
wave_period,2010-2024,full_management,8.0,scored,-2.124418414377237,-1.869698880696436,2.5881111768478826
wave_period,2010-2024,full_management,10.0,scored,-3.762760214744283,-2.5304745390933245,3.19541811183437
wave_period,2010-2024,full_management,12.0,barrier drowned (height/width) in year 4,,,
