group,period,period_start,scenario,hs,wave_period_s,wave_asymmetry,wave_angle_high_fraction,source_sink_preset,groin,offset_mode,island_offset_version,barrier3d_route_overwash_fix,status,mean_bias_interior_m_yr,rmse_interior_m_yr,variance_explained,pattern_variance_explained,r_alongshore,model_sd_m_yr,sd_ratio,roads_drowned,run_name,run_dir,log
asymmetry,1996-2010,1996,natural,1.0,8.0,0.3,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.5473445219482095,1.4357674344287492,-0.4950186353193837,-0.2777485371216326,0.42035498787640285,1.2851958322051185,1.0944817214764009,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p3ahf0p45,asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p3ahf0p45,logs/asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.3_highangle0.45.log
asymmetry,1996-2010,1996,natural,1.0,8.0,0.4,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.4990924528446556,1.3578873586702727,-0.33722934808621563,-0.15657832968523477,0.42444534179814913,1.1798067338879006,1.0047316313651027,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p4ahf0p45,asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p4ahf0p45,logs/asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.4_highangle0.45.log
asymmetry,1996-2010,1996,natural,1.0,8.0,0.5,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.499094828015027,1.29262971497264,-0.21178808929615411,-0.031135351462370897,0.42428600025547586,1.037803771963505,0.8838009200079908,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p5ahf0p45,asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p5ahf0p45,logs/asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.5_highangle0.45.log
asymmetry,1996-2010,1996,natural,1.0,8.0,0.6,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.4704153119929371,1.2000151898008868,-0.04436400667120011,0.11612352888367106,0.44341926317433755,0.8538438820062936,0.7271393965283194,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p6ahf0p45,asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p6ahf0p45,logs/asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.6_highangle0.45.log
asymmetry,1996-2010,1996,natural,1.0,8.0,0.7,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.46686871794076895,1.1628239181628814,0.019367412178651122,0.17744414815066,0.4311783263750178,0.6143845883138318,0.5232141943010686,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1ahf0p45,asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1ahf0p45,logs/asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.7_highangle0.45.log
asymmetry,1996-2010,1996,natural,1.0,8.0,0.9,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.45347886003834753,1.1682591949637375,0.010178632607389937,0.15931807033586387,0.4121324160022062,0.6044723305490303,0.5147728465544582,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p9ahf0p45,asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p9ahf0p45,logs/asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.9_highangle0.45.log
baseline,1996-2010,1996,natural,1.0,8.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.4443788169259642,1.1405575248715132,0.056563233119593215,0.19977711140512355,0.4473013147759177,0.5456283329317413,0.4646608883634479,0,HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p8ahf0p45,baseline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_noroad_nobdm_nogroin_waveHs1asym0p8ahf0p45,logs/baseline/1996_2010/Hs1.0_period8.0_asymmetry0.8_highangle0.45.log
baseline_full_management,1996-2010,1996,full_management,1.0,8.0,0.8,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.04437077518451315,1.0702301102566816,0.16932194033008097,0.17074975697769879,0.41621139751448166,0.4302336962693524,0.3663900121136422,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p45,baseline_full_management/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p8ahf0p45,logs/baseline_full_management/1996_2010/Hs1.0_period8.0_asymmetry0.8_highangle0.45.log
crash_check_natural_baseline,1996-2010,1996,natural,1.0,8.0,0.8,0.45,zeroBE,False,metres,,,IndexError: index is out of bounds,,,,,,,,,,,logs/crash_check_natural_baseline/1996_2010/Hs1.0_period8.0_asymmetry0.8_highangle0.45_boundscheck.log
full_management_asymmetry,1996-2010,1996,full_management,1.0,8.0,0.3,0.45,zeroBE,False,metres,duneline/v1,False,scored,-0.04686221502775463,1.2606663631341122,-0.1526003295227103,-0.15100766599816096,0.41366395134270384,1.152204043827905,0.9812249882705569,0,HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p3ahf0p45,full_management_asymmetry/1996_2010/zeroBE/HAT_1996_2010_zeroBE_offsetmetres_road_bdm_nogroin_waveHs1asym0p3ahf0p45,logs/full_management_asymmetry/1996_2010/Hs1.0_period8.0_asymmetry0.3_highangle0.45.log
