gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.885305655591765,4.042730526227425,0.8938512719994638
2,3.855224552330713,3.4737266113636216,0.9114857044837386
3,3.3530726607388197,2.9721235416564245,0.9065210704296056
4,2.7492079748164024,2.422636640016706,0.9126848565820043
5,1.8995878382853075,1.8140774300144955,0.9392346209890832
6,0.3817684114928852,1.0591667737454094,0.7008871541932972
7,0.1032779288495606,0.690534612015554,0.553862522413652
8,0.2238631134314346,0.5147992564093246,0.6035369861367834
9,0.23229213196360174,0.3583177822427531,0.5852227461889601
10,0.20976683481317845,0.2582022297692033,0.5762298359063484
11,0.13221657755431288,0.18220635775757307,0.5457100827129704
12,0.17917466781364055,0.16743065272518337,0.7463047711131232
13,0.1302648156120735,0.1533582313709048,0.8732330519225879
14,0.19790290250200218,0.18038538176614985,0.9575870170966034
15,0.2791669334598867,0.21593337674820592,0.804441855742158
16,0.2993070380918133,0.23233030001202176,0.7286385659393757
17,0.21230017234886742,0.21732537900153887,0.708385281332311
18,0.2153115462716804,0.21876932698197726,0.6322367600058587
19,0.33430455531327297,0.23812019331813555,0.5230149610578534
20,0.32619869512317173,0.2079142032233208,0.4124372293591434
21,0.2103984980241356,0.1345118933758602,0.31466353493309696
22,-0.032339157904841286,0.02249430715081077,0.033468851725041104
23,-0.19104862779879891,-0.08550315538284003,0.3612728319479148
24,-0.3760645846687112,-0.1782685537441212,0.4983634772070936
25,-0.330179108919765,-0.20356030560959765,0.6824096736526104
26,-0.2129816515929893,-0.17948042241475984,0.5585352417777133
27,-0.11163948784815148,-0.17410684242603874,0.329674771910199
28,-0.13868154924031323,-0.20875949196515867,0.3453881203436132
29,-0.22079668747223227,-0.2753186897686845,0.43912123230164024
30,-0.21842001521170978,-0.3416193304384406,0.49066290227023734
31,-0.28427388652146746,-0.47205065209140534,0.6330011257283601
32,-0.46370739827878943,-0.67439563055266,0.8248075975831083
33,-0.8140563618284692,-0.9519026213581054,0.9719166101395759
34,-1.3310596369345669,-1.2853760032513895,0.9906692038923499
35,-1.881840989988632,-1.6031449088581062,0.9348944855338416
36,-1.9330294287062446,-1.7452287144189966,0.9423487597693738
37,-2.0686966150808854,-1.8338663656662688,0.9332404803397529
38,-2.030385303856357,-1.8127930942233037,0.9375660919455088
39,-1.8217762119890852,-1.688226087403567,0.9549100137530774
40,-1.5692010486861494,-1.5006217714002816,0.9720638915904626
41,-1.228195898676469,-1.2606117814418905,0.98905573152358
42,-0.9564013673417711,-1.0197078942032343,0.9953731663193613
43,-0.6999005228092626,-0.7813475567717865,0.9874664981443106
44,-0.531547358392215,-0.5685856110157795,0.9692347983960627
45,-0.2659432639736354,-0.34492388796892937,0.8319334451039961
46,-0.08222438289054221,-0.1531356588324171,0.4371292648767302
47,-0.03668427800831913,-0.006836048819774831,0.0019904149376285263
48,0.126255198142774,0.15562631554935816,0.4667939823188384
49,0.38161759959686087,0.32735158947746196,0.6985760882265348
50,0.46106741598915896,0.4420362919987648,0.8172728898252468
51,0.5390090924720425,0.5408645073924641,0.8637310418466884
52,0.6072172323846254,0.6221855137061106,0.8848314369253211
53,0.7354755491700676,0.703055485832682,0.8850415164495264
54,0.7967057629499062,0.7505521447653054,0.8846136566512263
55,0.782229943796405,0.7612144951752682,0.887991988277357
56,0.7919910581411906,0.7534292457246172,0.879598224569736
57,0.7647222920986678,0.7113302381256639,0.8666706486922321
58,0.6488255112968285,0.623062459321647,0.8572569518934012
59,0.5336111127458675,0.5121203778299905,0.8310575889937363
60,0.38832918247031295,0.3736157323754679,0.7690002405944265
61,0.27943467362703295,0.22277880872679712,0.5401700578283967
62,-0.06416294307330515,0.004166291291779592,0.0009605093798084052
63,-0.34598085299187786,-0.20439579154922455,0.6059433849873956
64,-0.35665852304672235,-0.3519964564609163,0.8858813152160775
65,-0.4185241290089315,-0.518215540409222,0.8811232230334143
66,-0.629644497568084,-0.7384767156402348,0.9382572916533428
67,-0.9622751490520126,-1.0061055282594251,0.9856920396568474
68,-1.2877659240795245,-1.2814627407376247,0.9975173018354181
69,-1.6220673922746625,-1.5621289307756159,0.9983827117602521
70,-1.9053157406080052,-1.8269492808515087,0.9972420092922385
71,-2.2012299295030453,-2.0721862708811076,0.9945146132414387
72,-2.3295070399086137,-2.2509327006626405,0.9959079015631611
73,-2.3677025680335646,-2.3827934814768974,0.9960286470762941
74,-2.508148323261204,-2.511242633839586,0.9943945642682122
75,-2.634691534264935,-2.609779615369675,0.9909284209047725
76,-2.9073712134234353,-2.718831664753641,0.9816654089021486
77,-2.9991771281734794,-2.7258409656301303,0.9740330396617356
78,-2.9684635912486295,-2.6568138280585036,0.9712590155212947
79,-2.571081882855521,-2.4511952854875423,0.9864230170480319
80,-2.302907177873359,-2.223699722098894,0.9923032379035935
81,-2.1739483336038705,-2.027943139695179,0.9921670414001108
82,-1.7525202682109011,-1.7132193814577124,0.9932694359066682
83,-1.5305671355857027,-1.4467384813337802,0.9817051599567362
84,-1.217695003333834,-1.1898484559126703,0.9426764804091015
85,-0.9215324408622629,-0.934604219491796,0.8322173166007028
86,-0.7977563640364939,-0.7663649017764037,0.6890256387703618
87,-0.6482962249868122,-0.6606380317183482,0.5113092127546508
88,-0.6470612323633499,-0.6698806627858483,0.4302712497820592
89,-0.6933031468197441,-0.7926761428335584,0.4277976618452807
90,-0.734648741768459,-1.0458404897651474,0.47193760967363196
