gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.572565441301231,3.350401960756859,0.8631824429372753
2,3.6819315870530773,2.962056725586631,0.8996244203168772
3,2.912133073590212,2.455560154006611,0.9251407008725322
4,2.1883295023977554,1.896107333788465,0.9481853252539262
5,1.3596361558976242,1.3304625501381933,0.9050868208415287
6,0.8183463643656979,1.0025308610209813,0.7118389637585316
7,0.8327510403677479,0.7623538570280501,0.5527384237144501
8,0.8604726094737998,0.5788931029251951,0.401530152715158
9,0.7969361633567132,0.4296449401256328,0.26156936948161447
10,0.741364124534357,0.32295617862437226,0.17263219241653893
11,0.7071697434638736,0.23379199090595268,0.1044175716010759
12,0.5969560017772892,0.15370417040248166,0.049708443581849004
13,0.48677467245952355,0.08024114027657255,0.015063701327345802
14,0.2987851487602711,-0.014552096286306347,0.0005853937016507826
15,0.05084893881858079,-0.12455061571553852,0.0520238070491994
16,0.1530956703931224,-0.31442966213024914,0.45955231341554015
17,-0.24739304675113089,-0.4590178141089205,0.8178789413927126
18,-0.411347663889137,-0.5631565805405583,0.8817164726565141
19,-0.32532288808688464,-0.6265721306374604,0.8533677796516411
20,-0.16412772799785671,-0.6821969253274698,0.7758027228746167
21,-0.4349064352633832,-0.6491930400287125,0.6019499834197277
22,-0.4115062551677511,-0.7275172024101201,0.6221085885567876
23,-0.42703480279542416,-0.8113829489270564,0.655120846134081
24,-0.5860412075703607,-0.8876160343085786,0.6863433136778415
25,-0.564629469162719,-0.9176449333916625,0.7045588384512245
26,-0.5043683540127859,-0.9257676202452493,0.7235397068623118
27,-0.5226517871692522,-0.9444478195916677,0.7468406883641012
28,-0.8236648311265526,-1.0320663146667597,0.7990861817913189
29,-0.8051868230233594,-1.2413334284087594,0.9251579675989735
30,-1.0769789638410656,-1.336223172930027,0.959613674415667
31,-1.1643820562122529,-1.3983721846570085,0.9668672210408723
32,-1.290254033585552,-1.4903002709355972,0.978964695942736
33,-1.4254525881545306,-1.575546194535735,0.988187421310546
34,-1.6725925667707997,-1.6914031290550628,0.9870919048024408
35,-1.8136543654886736,-1.7813882484277623,0.976754147218566
36,-1.9360741569134006,-1.8457892204770754,0.9661123338940617
37,-1.9977016748973255,-1.863215460231814,0.9605576499288331
38,-1.8284100898815268,-1.8028330844088238,0.96914581903919
39,-1.6844067481805722,-1.706395441001762,0.9752534422289717
40,-1.5036737419533892,-1.5752762556761963,0.9806308043194862
41,-1.3150332566819087,-1.426311843989906,0.9823127339765076
42,-1.1354012216135743,-1.2774891325929043,0.9800487187204098
43,-0.9900102020628765,-1.1347245087671622,0.9750360869416554
44,-0.886445427907347,-1.0009334189318324,0.9705857778619588
45,-0.7163708861970918,-0.8619363532133375,0.9566403627621242
46,-0.6230128594253983,-0.7475886215575519,0.9445454553725078
47,-0.5826773085028435,-0.6449024479061928,0.9334395227812347
48,-0.4963373772475279,-0.532702632794319,0.8983948929708683
49,-0.3278937788250914,-0.40428806000962336,0.8189503099362707
50,-0.14891063334307547,-0.27502829417693503,0.6077062575076786
51,0.016762757605556546,-0.15767981270697087,0.2673145618373497
52,0.1341062105454512,-0.06777770341113572,0.05012175764619797
53,0.22336779024008138,-0.013147642497342649,0.0017995051011509
54,0.2069713297227281,-0.008457265494260808,0.0008640632903439416
55,0.12949224775575202,-0.045048687113822546,0.03288522885949319
56,-0.10068667923487737,-0.1244205171149484,0.33873150597522517
57,-0.11064220232265143,-0.17369332760146133,0.5705280257005297
58,-0.16401690978282205,-0.23760178278391691,0.736479303451639
59,-0.2528278528157898,-0.3167885833067177,0.8434783709934196
60,-0.3499681151972254,-0.40770275917844884,0.8893453342152905
61,-0.4019042383014494,-0.49785888492803343,0.8948328505746022
62,-0.5872600415917987,-0.6195584288935679,0.9367687486570955
63,-0.6639473717445981,-0.7323086721510187,0.9417269352669764
64,-0.7435377995115232,-0.8606347254530711,0.9408883117266758
65,-0.8099625578009182,-1.0116071037287315,0.9369684741226845
66,-1.010774054247122,-1.2188089451738409,0.9587345901904535
67,-1.3273287699803404,-1.4792234496045022,0.9811036700257769
68,-1.6552069634225517,-1.746398667788221,0.991697286314674
69,-1.9791867317121614,-2.0143032466615316,0.9942590115689018
70,-2.185574836090564,-2.2202397663292293,0.9944500770748321
71,-2.3604220759985766,-2.377203973816832,0.9940354356886715
72,-2.4518283020023772,-2.4867571090391505,0.9916503758697527
73,-2.411350935781047,-2.5379019677232018,0.9893838039231148
74,-2.479328847850229,-2.5858084112357647,0.9842622931544326
75,-2.58800755164948,-2.6275775235324463,0.9759368738227833
76,-2.647165095170476,-2.6087787057670377,0.9632748198099563
77,-2.582553567756804,-2.531735881514552,0.9472455164523941
78,-2.5287325721544223,-2.3722846318920716,0.923401621637965
79,-2.299872887883157,-2.1103448288730355,0.8954505681151599
80,-1.9757091035580743,-1.7405383401887693,0.8529790199355438
81,-1.4851187490146003,-1.2631747578761523,0.7703658165580585
82,-1.0203100060447468,-0.7116126669213918,0.5196452283814215
83,-0.4629269354146345,-0.09756322749554425,0.014092483733736172
84,0.08508231676560171,0.562371597927053,0.1591780179735688
85,0.7559350893225201,1.1912634818767585,0.40445864040654755
86,1.3617070358495766,1.7298832676339955,0.5368455675632466
87,1.9113281746364919,2.1467459697459614,0.6020705159029534
88,2.3997696711583556,2.4020986765184773,0.6262143913533813
89,2.925648457956595,2.4657345220454547,0.597295560447586
90,3.5024519462403987,2.261308590381842,0.5543665242402918
