gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.748868023372961,-4.772227148161149,0.86576998366864
2,-5.464363006533768,-4.8855213661083345,0.896183553633105
3,-4.8129217127812804,-4.690427474008557,0.9256595589237191
4,-4.240770466420872,-4.3399526249467835,0.9403427588696951
5,-4.122594658874005,-3.9093050259709345,0.9386814001776207
6,-3.408664497888549,-3.715936981954802,0.9926741429203759
7,-2.8881481402807365,-3.1561861845797203,0.9957016544240119
8,-2.2651304102258107,-2.625561804532996,0.9866158637606507
9,-1.9381676783075819,-2.2056596672249613,0.983689693229677
10,-1.753468178741241,-1.870963139431143,0.987490486147194
11,-1.626700071718369,-1.5916768224590547,0.9898365397578145
12,-1.3457478571887804,-1.3064699508520294,0.9868438679989535
13,-1.098577301021851,-1.0438427498104939,0.9799284638943854
14,-0.8034077250457813,-0.7892117853410562,0.9607794867098216
15,-0.45243093198887435,-0.5456987029940918,0.8744694446741655
16,-0.18979043355884642,-0.34815288765432795,0.6632738389255386
17,-0.2851238497598388,-0.24486939288556428,0.6988769714743688
18,-0.19626926638120495,-0.13200359199632056,0.4491584668796962
19,0.0362480326702098,-0.006572655167996681,0.0018518544953756155
20,0.17989181054708753,0.08945323234215977,0.22168993106448975
21,0.20685082959162174,0.15198463768951806,0.5708398051478496
22,0.20193075234965363,0.20112507193463106,0.8137104956838214
23,0.20167082287180166,0.25424820304634965,0.8974573017131743
24,0.17970496033422023,0.3188222365084578,0.8613649287105427
25,0.3300904808122141,0.43725914358858586,0.9143729735930604
26,0.5437086523097605,0.5863177073971728,0.9110594108699863
27,0.8721371132421154,0.7614042919528703,0.8611897645033186
28,1.0543683764227354,0.8998655119470795,0.8299985485739301
29,1.232941348777422,1.0007671222332237,0.7917789014456612
30,1.3852632103570612,1.0522419437592585,0.7555040071539332
31,1.3371324897684644,0.9951788169011824,0.7348179067538434
32,1.1430853612019747,0.8428291669550358,0.7234355316289237
33,0.7581502398522388,0.5909371015865338,0.734537573419338
34,0.26959404338349485,0.2789644911661944,0.7394047170230559
35,-0.10905284349510111,-0.029103258308334132,0.09039033687761644
36,-0.5154293300231985,-0.3345833233701079,0.7246640774464053
37,-0.8585282610146351,-0.5898004290503588,0.7735148575456015
38,-0.9887175386009404,-0.7578468281799059,0.8425897534092179
39,-1.0383481534110615,-0.8567903008588785,0.8967181626930107
40,-0.9886780611844188,-0.8910875266226613,0.9466861043321597
41,-0.8916135446084809,-0.884953782310334,0.9808871595170018
42,-0.8060000634017342,-0.8675914921050514,0.9929151386292906
43,-0.7500412127285017,-0.8563180037890968,0.9911469032485616
44,-0.8050138479181441,-0.8717813646579875,0.9951004093007175
45,-0.8066500438189905,-0.8862454831256165,0.9940741523007857
46,-0.8427056078574424,-0.9193753871138701,0.995699105185371
47,-0.9342540384185668,-0.9721580476423112,0.998772214383519
48,-1.017888122932618,-1.026693316926715,0.9966658623453306
49,-1.1159018315262075,-1.0822299702991296,0.9891429039399505
50,-1.2311740859795464,-1.1206983336398426,0.9754107787394298
51,-1.2512908446818074,-1.121671228735416,0.9671568690233984
52,-1.1896356532728531,-1.0793898006021654,0.9678699082628637
53,-1.0575578107821457,-0.9929642824893679,0.9742700259914538
54,-1.0020391875266796,-0.8994040251389617,0.9749148512303953
55,-0.7884378356799061,-0.7574884872695002,0.9923421244049395
56,-0.53639196617778,-0.6024103639469396,0.9894314651956728
57,-0.4364355235339644,-0.48029668646634477,0.9884080361515982
58,-0.34384879500048554,-0.37031579698751804,0.969344133475811
59,-0.17725758032238445,-0.2581221320438536,0.8467463365994912
60,-0.17927837641927907,-0.1845575957408551,0.8187771340123595
61,-0.09032968298915875,-0.10356332411101257,0.520324075843559
62,-0.08833719879776254,-0.0416987742382371,0.12919137630168853
63,-0.005493438900975889,0.030387114692846166,0.049318459542418425
64,0.13029341020264837,0.10404550284581755,0.24619269874556038
65,0.18403200182838192,0.14665774481190003,0.30038214178030065
66,0.2559870964024412,0.16766204858755004,0.26417771514902566
67,0.1845974938834843,0.12623135903548563,0.15496005413496705
68,0.027844815022308466,0.027683078205947523,0.008837671450902529
69,-0.09181907760848844,-0.09186368210392779,0.07815786021012483
70,-0.11699140429445834,-0.2273818217753473,0.27551668623552705
71,-0.2495413263408409,-0.4214957905787553,0.5182969646965724
72,-0.48809985052475896,-0.6806045698358691,0.7343568111035589
73,-0.7789989359599531,-0.9915675646359601,0.8698861635511868
74,-1.1015496060402257,-1.3610320801777873,0.940522702326471
75,-1.5281630774163204,-1.7815727650585798,0.9812195097490011
76,-2.0977003169879938,-2.266967225700075,0.9966887761353631
77,-2.7243259716736246,-2.7687192469674935,0.9924774418330131
78,-3.474875491682269,-3.2672243529763954,0.9761827846838531
79,-3.9368468416395443,-3.6479243804705845,0.9640658320604781
80,-4.225652923721645,-3.90884579538705,0.9578739840447926
81,-4.330489580695667,-4.034172397147716,0.9561795739956558
82,-4.345429637526559,-4.026264923158296,0.9559319272078762
83,-4.169241106289792,-3.876321499956599,0.9594578149530815
84,-4.013290226348181,-3.6372364879343224,0.9633421827562898
85,-3.640230721884291,-3.253104017414073,0.9720771226473095
86,-3.0001204090028297,-2.7548676264739047,0.9900831351366497
87,-2.23346196909406,-2.205344230608406,0.9927064845933433
88,-1.484754609353604,-1.6769502930370106,0.9037761951341569
89,-0.6063670589319372,-1.2129990110241147,0.6058881013064243
90,0.25289061782796124,-0.9166736062802684,0.2950871018619764
