gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,15,managed throughout,4724.230389732874,2,0
10,24,False,False,15,managed throughout,9575.051165719196,2,0
11,25,False,False,15,managed throughout,6021.704012573751,2,0
12,26,False,False,15,managed throughout,10358.646942081312,2,0
13,27,False,False,15,managed throughout,23671.42691887976,2,0
14,28,False,False,15,managed throughout,6964.112418919491,2,0
15,29,False,False,15,managed throughout,4896.986678446745,2,0
16,30,False,False,15,managed throughout,9000.345643777979,2,0
17,31,False,False,15,managed throughout,7156.351562185441,2,0
18,32,False,False,15,managed throughout,3394.7339435145204,2,0
19,33,False,False,15,managed throughout,2360.6222331024856,2,0
20,34,False,False,15,managed throughout,6207.3445605754205,2,0
32,46,False,False,15,managed throughout,2547.5524099596,2,0
33,47,False,False,15,managed throughout,8031.351740276293,2,0
34,48,False,False,15,managed throughout,6676.741765906525,2,0
35,49,False,False,15,managed throughout,25820.750869512558,0,0
36,50,False,False,15,managed throughout,2128.9466645435764,1,0
37,51,False,False,15,managed throughout,1478.5168548107195,1,0
38,52,False,False,15,managed throughout,2089.9959187507684,2,0
39,53,False,False,15,managed throughout,3346.121270370488,1,0
40,54,False,False,15,managed throughout,3537.0551597159288,2,0
41,55,False,False,15,managed throughout,3270.6975825027794,2,0
42,56,False,False,15,managed throughout,5471.288800419652,2,0
43,57,False,False,15,managed throughout,3612.513581514364,2,0
44,58,False,False,15,managed throughout,4326.232383730224,2,0
45,59,False,False,15,managed throughout,8419.428803925894,2,0
46,60,False,False,15,managed throughout,9153.555809579195,2,0
47,61,False,False,15,managed throughout,6570.9551317877085,2,0
48,62,False,False,15,managed throughout,6556.852899858585,2,0
49,63,False,False,15,managed throughout,10495.732581995539,2,0
50,64,False,False,15,managed throughout,13028.05814599217,2,0
51,65,False,False,15,managed throughout,7487.188090287091,2,0
52,66,False,False,15,managed throughout,5617.797000329779,2,0
53,67,False,False,15,managed throughout,7840.589624496652,2,0
54,68,False,False,15,managed throughout,7354.455060933929,2,0
55,69,False,False,15,managed throughout,6968.199776826553,2,0
56,70,False,False,15,managed throughout,7023.0395417093305,2,0
57,71,False,False,15,managed throughout,6728.02465359934,2,0
58,72,False,False,15,managed throughout,5142.297192299308,2,0
59,73,False,False,15,managed throughout,5584.67083519645,2,0
60,74,False,False,15,managed throughout,5129.947044631914,2,0
61,75,False,False,15,managed throughout,3525.7585411322298,2,0
62,76,False,False,15,managed throughout,3843.7239229248835,2,0
63,77,False,False,15,managed throughout,6010.106645607883,2,0
64,78,False,False,15,managed throughout,4461.194493770607,2,0
65,79,False,False,15,managed throughout,4921.467524890717,2,0
66,80,False,False,15,managed throughout,5859.623464854798,2,0
67,81,False,False,15,managed throughout,7305.976885399728,2,0
84,98,False,False,15,managed throughout,8921.094198324516,2,0
85,99,False,False,15,managed throughout,4869.848125015349,2,0
86,100,False,False,15,managed throughout,5664.406503794577,1,0
87,101,False,False,15,managed throughout,6228.437533072895,2,0
88,102,False,False,15,managed throughout,3431.1294858869906,2,0
89,103,False,False,15,managed throughout,4852.521312752402,2,0
90,104,False,False,15,managed throughout,4469.235142225116,2,0
