gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,21,managed throughout,4105.946198832456,2,0
10,24,False,False,21,managed throughout,8817.170207981788,1,0
11,25,False,False,21,managed throughout,3213.7439203493427,0,1
12,26,False,False,21,managed throughout,9817.861042096036,1,0
13,27,False,False,21,managed throughout,13459.788358886944,1,0
14,28,False,False,21,managed throughout,5981.866585242149,2,0
15,29,False,False,21,managed throughout,4437.429970797777,1,0
16,30,False,False,21,managed throughout,6366.796105905936,1,0
17,31,False,False,21,managed throughout,6720.9282241931205,1,0
18,32,False,False,21,managed throughout,3084.47672400313,2,0
19,33,False,False,21,managed throughout,2286.036667411008,2,0
20,34,False,False,21,managed throughout,5461.3790717954,1,0
32,46,False,False,21,managed throughout,1046.0442759026214,2,0
33,47,False,False,21,managed throughout,1525.3009899725537,2,0
34,48,False,False,21,managed throughout,706.2759637832702,0,0
35,49,False,False,21,managed throughout,1520.2653753598886,2,0
36,50,False,False,21,managed throughout,1681.9798880577143,1,0
37,51,False,False,21,managed throughout,1678.2716416119767,2,0
38,52,False,False,21,managed throughout,2175.7396353288545,2,0
39,53,False,False,21,managed throughout,3346.1212703704896,0,0
40,54,False,False,21,managed throughout,3907.3727506691303,1,0
41,55,False,False,21,managed throughout,4936.657120237766,1,0
42,56,False,False,21,managed throughout,5146.8198066444,2,0
43,57,False,False,21,managed throughout,2451.8632095079142,2,0
44,58,False,False,21,managed throughout,4574.024325231498,2,0
45,59,False,False,21,managed throughout,7399.986947751898,1,0
46,60,False,False,21,managed throughout,7789.3047925767,1,0
47,61,False,False,21,managed throughout,6573.58884344821,1,0
48,62,False,False,21,managed throughout,6675.564154167738,1,0
49,63,False,False,21,managed throughout,2671.3329722297553,0,0
50,64,False,False,21,managed throughout,8617.940476330123,1,0
51,65,False,False,21,managed throughout,7162.594505749917,1,0
52,66,False,False,21,managed throughout,5117.116652782764,1,0
53,67,False,False,21,managed throughout,8021.133213496552,1,0
54,68,False,False,21,managed throughout,6609.531155971129,2,0
55,69,False,False,21,managed throughout,6483.602977161296,2,0
56,70,False,False,21,managed throughout,6064.844167916145,1,0
57,71,False,False,21,managed throughout,6612.488482063139,1,0
58,72,False,False,21,managed throughout,5213.291918649536,1,0
59,73,False,False,21,managed throughout,5733.8805505223645,2,0
60,74,False,False,21,managed throughout,5226.016155254916,2,0
61,75,False,False,21,managed throughout,3662.2172305461368,2,0
62,76,False,False,21,managed throughout,4465.000771883181,2,0
63,77,False,False,21,managed throughout,4683.1373948863875,2,0
64,78,False,False,21,managed throughout,3997.269000811194,1,0
65,79,False,False,21,managed throughout,1931.6819748066155,2,0
66,80,False,False,21,managed throughout,1267.8819846628776,2,0
67,81,False,False,21,managed throughout,1774.0000594644018,2,0
84,98,False,False,21,managed throughout,13291.59811980551,2,1
85,99,False,False,21,managed throughout,20242.141335881184,1,1
86,100,False,False,21,managed throughout,15544.14446544647,1,1
87,101,False,False,21,managed throughout,9191.718062794751,2,0
88,102,False,False,21,managed throughout,3295.1507873403716,2,0
89,103,False,False,21,managed throughout,4725.236564454988,1,0
90,104,False,False,21,managed throughout,4290.655199475274,2,0
