year,wet_dry,nc_state,coastsat_all,coastsat_well_covered,total_all_sources,distinct_sources
1849,0,1,0,0,1,1
1850,0,0,0,0,0,0
1851,0,0,0,0,0,0
1852,0,1,0,0,1,1
1853,0,0,0,0,0,0
1854,0,0,0,0,0,0
1855,0,0,0,0,0,0
1856,0,0,0,0,0,0
1857,0,0,0,0,0,0
1858,0,0,0,0,0,0
1859,0,0,0,0,0,0
1860,0,1,0,0,1,1
1861,0,0,0,0,0,0
1862,0,0,0,0,0,0
1863,0,0,0,0,0,0
1864,0,0,0,0,0,0
1865,0,0,0,0,0,0
1866,0,0,0,0,0,0
1867,0,0,0,0,0,0
1868,0,0,0,0,0,0
1869,0,0,0,0,0,0
1870,0,0,0,0,0,0
1871,0,0,0,0,0,0
1872,0,0,0,0,0,0
1873,0,0,0,0,0,0
1874,0,0,0,0,0,0
1875,0,0,0,0,0,0
1876,0,0,0,0,0,0
1877,0,0,0,0,0,0
1878,0,0,0,0,0,0
1879,0,0,0,0,0,0
1880,0,0,0,0,0,0
1881,0,0,0,0,0,0
1882,0,0,0,0,0,0
1883,0,0,0,0,0,0
1884,0,0,0,0,0,0
1885,0,0,0,0,0,0
1886,0,0,0,0,0,0
1887,0,0,0,0,0,0
1888,0,0,0,0,0,0
1889,0,0,0,0,0,0
1890,0,0,0,0,0,0
1891,0,0,0,0,0,0
1892,0,0,0,0,0,0
1893,0,0,0,0,0,0
1894,0,0,0,0,0,0
1895,0,0,0,0,0,0
1896,0,0,0,0,0,0
1897,0,0,0,0,0,0
1898,0,0,0,0,0,0
1899,0,0,0,0,0,0
1900,0,0,0,0,0,0
1901,0,0,0,0,0,0
1902,0,0,0,0,0,0
1903,0,0,0,0,0,0
1904,0,0,0,0,0,0
1905,0,0,0,0,0,0
1906,0,0,0,0,0,0
1907,0,0,0,0,0,0
1908,0,0,0,0,0,0
1909,0,0,0,0,0,0
1910,0,0,0,0,0,0
1911,0,0,0,0,0,0
1912,0,0,0,0,0,0
1913,0,0,0,0,0,0
1914,0,0,0,0,0,0
1915,0,0,0,0,0,0
1916,0,0,0,0,0,0
1917,0,0,0,0,0,0
1918,0,0,0,0,0,0
1919,0,0,0,0,0,0
1920,0,0,0,0,0,0
1921,0,0,0,0,0,0
1922,0,0,0,0,0,0
1923,0,0,0,0,0,0
1924,0,0,0,0,0,0
1925,0,0,0,0,0,0
1926,0,0,0,0,0,0
1927,0,0,0,0,0,0
1928,0,0,0,0,0,0
1929,0,0,0,0,0,0
1930,0,0,0,0,0,0
1931,0,0,0,0,0,0
1932,0,0,0,0,0,0
1933,0,0,0,0,0,0
1934,0,0,0,0,0,0
1935,0,0,0,0,0,0
1936,0,0,0,0,0,0
1937,0,0,0,0,0,0
1938,0,0,0,0,0,0
1939,0,0,0,0,0,0
1940,0,0,0,0,0,0
1941,0,0,0,0,0,0
1942,0,0,0,0,0,0
1943,0,0,0,0,0,0
1944,0,0,0,0,0,0
1945,0,0,0,0,0,0
1946,0,3,0,0,3,1
1947,0,0,0,0,0,0
1948,0,0,0,0,0,0
1949,0,2,0,0,2,1
1950,0,0,0,0,0,0
1951,0,0,0,0,0,0
1952,0,0,0,0,0,0
1953,0,0,0,0,0,0
1954,0,0,0,0,0,0
1955,0,0,0,0,0,0
1956,0,0,0,0,0,0
1957,0,0,0,0,0,0
1958,0,0,0,0,0,0
1959,0,0,0,0,0,0
1960,0,0,0,0,0,0
1961,0,0,0,0,0,0
1962,0,0,0,0,0,0
1963,0,0,0,0,0,0
1964,0,0,0,0,0,0
1965,0,0,0,0,0,0
1966,0,0,0,0,0,0
1967,1,0,0,0,1,1
1968,0,0,0,0,0,0
1969,0,0,0,0,0,0
1970,1,0,0,0,1,1
1971,0,0,0,0,0,0
1972,2,0,0,0,2,1
1973,0,0,0,0,0,0
1974,1,0,0,0,1,1
1975,0,0,0,0,0,0
1976,0,0,0,0,0,0
1977,0,0,0,0,0,0
1978,1,0,0,0,1,1
1979,0,0,0,0,0,0
1980,0,1,0,0,1,1
1981,0,0,0,0,0,0
1982,0,0,0,0,0,0
1983,0,0,0,0,0,0
1984,0,0,7,7,7,1
1985,1,0,13,13,14,2
1986,0,0,11,11,11,1
1987,1,0,10,10,11,2
1988,0,0,14,14,14,1
1989,1,0,9,9,10,2
1990,0,0,8,8,8,1
1991,1,0,10,10,11,2
1992,1,0,14,14,15,2
1993,1,0,12,12,13,2
1994,0,0,8,8,8,1
1995,1,0,13,13,14,2
1996,1,0,14,14,15,2
1997,1,1,8,8,10,3
1998,0,1,12,12,13,2
1999,0,0,26,26,26,1
2000,0,0,41,40,41,1
2001,0,0,32,32,32,1
2002,0,1,35,35,36,2
2003,0,0,29,29,29,1
2004,1,3,35,35,39,3
2005,0,0,28,28,28,1
2006,0,0,32,32,32,1
2007,0,1,33,33,34,2
2008,1,0,39,39,40,2
2009,0,1,23,23,24,2
2010,0,1,33,33,34,2
2011,0,0,37,37,37,1
2012,0,1,21,21,22,2
2013,0,0,34,34,34,1
2014,1,0,41,41,42,2
2015,0,0,33,33,33,1
2016,1,2,44,43,47,3
2017,1,0,45,45,46,2
2018,1,0,37,37,38,2
2019,1,0,43,43,44,2
2020,1,1,28,28,30,3
2021,0,0,57,57,57,1
2022,1,2,53,52,56,3
2023,1,0,58,58,59,2
2024,0,1,45,44,46,2
2025,0,0,50,50,50,1
2026,0,0,3,3,3,1
