si_amp_dam_yr,mi_amp_dam_yr,ws_peak_dam_yr,rod_amplitude,rod_width_domains,avon_north_dam_yr,rmse_p1,rmse_p2,combined_score,pareto_optimal
-0.5,0.5,0.3,-0.1,3,0.5,0.2552,0.2106,0.2329,True
-0.5,0.5,0.3,-0.1,3,0.1,0.2551,0.2172,0.2362,True
-0.5,0.5,0.3,-0.1,4,0.1,0.2545,0.2182,0.2363,True
-0.5,0.15,0.05,-0.3,6,0.1,0.2164,0.2594,0.2379,True
-0.5,0.05,0.05,-0.3,6,0.5,0.2163,0.2608,0.2386,True
-0.5,0.05,0.05,-0.3,6,0.1,0.2162,0.2662,0.2412,True
-0.5,0.5,0.2,-0.3,6,0.1,0.2453,0.2468,0.246,True
-0.5,0.5,0.3,-0.3,6,0.5,0.2542,0.2406,0.2474,True
-0.5,0.5,0.05,-0.3,6,0.5,0.244,0.2533,0.2486,True
-0.5,0.5,0.3,-0.3,6,0.1,0.2541,0.2465,0.2503,True
-0.5,0.5,0.05,-0.3,6,0.1,0.2438,0.2588,0.2513,True
