domain_number,n_valid,mean_lrr,median_lrr,std_lrr,min_lrr,max_lrr,pct_eroding,n_transects
1.0,29,-1.037,-1.399,2.866,-5.085,4.08,65.517,98
2.0,11,-4.798,-4.837,0.258,-5.104,-4.368,100.0,11
3.0,10,-4.769,-4.778,0.208,-5.03,-4.362,100.0,10
4.0,13,-3.98,-3.944,0.433,-4.604,-3.471,100.0,13
5.0,13,-2.372,-2.211,0.822,-3.537,-1.242,100.0,13
6.0,6,-1.385,-1.438,0.672,-2.283,-0.485,100.0,6
7.0,4,-2.188,-2.211,0.115,-2.301,-2.029,100.0,4
8.0,9,-1.729,-1.698,0.103,-1.943,-1.606,100.0,9
9.0,9,-2.135,-2.141,0.315,-2.649,-1.67,100.0,9
10.0,10,-2.737,-2.778,0.106,-2.866,-2.573,100.0,10
11.0,10,-2.961,-2.984,0.084,-3.067,-2.82,100.0,10
12.0,10,-2.348,-2.37,0.188,-2.636,-1.997,100.0,10
13.0,11,-1.719,-1.676,0.15,-1.979,-1.479,100.0,11
14.0,10,-0.754,-0.825,0.42,-1.389,-0.17,100.0,10
15.0,10,0.107,0.088,0.222,-0.168,0.466,40.0,10
16.0,10,0.826,0.881,0.219,0.452,1.123,0.0,10
17.0,10,0.441,0.458,0.31,-0.022,0.916,10.0,10
18.0,10,-0.068,-0.082,0.071,-0.154,0.048,80.0,10
19.0,10,-0.026,-0.006,0.06,-0.133,0.057,50.0,10
20.0,10,0.357,0.396,0.366,-0.146,0.804,20.0,10
21.0,11,0.789,0.932,0.294,0.377,1.106,0.0,11
22.0,10,-0.336,-0.399,0.379,-0.799,0.298,80.0,10
23.0,10,-0.91,-0.911,0.03,-0.958,-0.858,100.0,10
24.0,10,-0.462,-0.432,0.142,-0.764,-0.272,100.0,10
25.0,10,-0.084,-0.084,0.129,-0.261,0.112,80.0,10
26.0,10,-0.215,-0.188,0.092,-0.353,-0.108,100.0,10
27.0,11,-0.392,-0.414,0.092,-0.499,-0.239,100.0,11
28.0,10,0.597,0.609,0.436,-0.077,1.146,10.0,10
29.0,10,2.076,2.129,0.623,1.163,2.932,0.0,10
30.0,10,2.675,2.576,0.222,2.45,3.031,0.0,10
31.0,11,2.392,2.395,0.03,2.351,2.441,0.0,11
32.0,10,2.435,2.447,0.263,1.882,2.753,0.0,10
33.0,11,0.91,0.892,0.479,0.098,1.644,0.0,11
34.0,10,-0.904,-0.894,0.491,-1.605,-0.128,100.0,10
35.0,11,-1.996,-2.081,0.183,-2.182,-1.662,100.0,11
36.0,10,-1.819,-1.92,0.315,-2.125,-1.271,100.0,10
37.0,11,-1.172,-1.172,0.042,-1.219,-1.101,100.0,11
38.0,10,-1.45,-1.434,0.238,-1.745,-1.052,100.0,10
39.0,10,-1.359,-1.33,0.174,-1.64,-1.088,100.0,10
40.0,10,-1.188,-1.157,0.146,-1.467,-1.035,100.0,10
41.0,11,-1.784,-1.788,0.109,-1.94,-1.579,100.0,11
42.0,10,-1.38,-1.485,0.279,-1.716,-0.85,100.0,10
43.0,10,-0.494,-0.468,0.149,-0.794,-0.302,100.0,10
44.0,10,-0.11,-0.094,0.123,-0.361,0.057,80.0,10
45.0,10,0.183,0.194,0.088,0.056,0.295,0.0,10
46.0,10,0.42,0.388,0.238,0.158,0.841,0.0,10
47.0,10,-0.3,-0.292,0.275,-0.718,0.067,80.0,10
48.0,10,-1.234,-1.238,0.194,-1.64,-0.944,100.0,10
49.0,10,-1.845,-1.863,0.055,-1.91,-1.755,100.0,10
50.0,10,-1.612,-1.58,0.078,-1.73,-1.512,100.0,10
51.0,10,-1.657,-1.674,0.065,-1.728,-1.553,100.0,10
52.0,10,-1.806,-1.792,0.084,-1.946,-1.696,100.0,10
53.0,10,-1.546,-1.52,0.074,-1.686,-1.438,100.0,10
54.0,10,-1.357,-1.357,0.064,-1.439,-1.264,100.0,10
55.0,10,-1.087,-1.097,0.227,-1.407,-0.757,100.0,10
56.0,11,-0.69,-0.771,0.158,-0.862,-0.422,100.0,11
57.0,10,-0.381,-0.398,0.061,-0.471,-0.301,100.0,10
58.0,10,-0.094,-0.069,0.119,-0.324,0.079,70.0,10
59.0,10,0.473,0.46,0.191,0.188,0.709,0.0,10
60.0,10,1.016,0.977,0.201,0.714,1.314,0.0,10
61.0,11,1.528,1.553,0.098,1.38,1.643,0.0,11
62.0,10,1.131,1.224,0.199,0.771,1.324,0.0,10
63.0,10,0.069,0.159,0.455,-0.586,0.624,40.0,10
64.0,10,-0.951,-0.915,0.195,-1.276,-0.714,100.0,10
65.0,10,-1.42,-1.374,0.144,-1.597,-1.257,100.0,10
66.0,11,-2.019,-2.048,0.195,-2.222,-1.607,100.0,11
67.0,10,-1.128,-1.128,0.507,-1.854,-0.469,100.0,10
68.0,10,-0.061,0.001,0.244,-0.488,0.231,50.0,10
69.0,11,0.548,0.62,0.176,0.242,0.749,0.0,11
70.0,10,0.476,0.478,0.064,0.386,0.567,0.0,10
71.0,10,0.05,0.032,0.17,-0.226,0.302,50.0,10
72.0,10,-0.344,-0.352,0.045,-0.404,-0.244,100.0,10
73.0,11,-0.24,-0.336,0.251,-0.494,0.294,81.818,11
74.0,10,1.028,1.011,0.391,0.476,1.758,0.0,10
75.0,10,2.213,2.217,0.189,1.945,2.453,0.0,10
76.0,10,-0.067,0.059,1.553,-2.486,1.892,50.0,10
77.0,10,-4.923,-5.172,1.017,-6.076,-3.123,100.0,10
78.0,10,-5.949,-5.927,0.139,-6.148,-5.767,100.0,10
79.0,10,-4.752,-4.567,0.399,-5.408,-4.318,100.0,10
80.0,10,-3.311,-3.227,0.593,-4.205,-2.621,100.0,10
81.0,10,-4.26,-4.337,1.119,-5.792,-2.682,100.0,10
82.0,10,-5.781,-5.866,0.276,-6.097,-5.211,100.0,10
83.0,10,-4.371,-4.319,0.208,-4.834,-4.16,100.0,10
84.0,11,-4.495,-4.471,0.108,-4.671,-4.327,100.0,11
85.0,12,-3.273,-3.066,0.401,-4.101,-2.904,100.0,12
86.0,12,-2.946,-2.941,0.052,-3.028,-2.846,100.0,12
87.0,11,-2.936,-2.995,0.121,-3.049,-2.685,100.0,11
88.0,10,-2.245,-2.324,0.309,-2.63,-1.704,100.0,10
89.0,9,-1.305,-1.224,0.215,-1.578,-0.973,100.0,9
90.0,50,1.64,1.67,1.038,-0.814,3.448,10.0,50
