domain,lrr_p1,std_p1,lrr_p2,std_p2,difference
1,-1.037,2.866,1.099,3.128,2.136
2,-4.798,0.258,2.744,0.065,7.542
3,-4.769,0.208,2.864,0.135,7.633
4,-3.98,0.433,2.36,0.354,6.34
5,-2.372,0.822,1.18,0.383,3.5519999999999996
6,-1.385,0.672,-1.285,1.291,0.10000000000000009
7,-2.188,0.115,-0.707,0.625,1.4810000000000003
8,-1.729,0.103,0.293,0.398,2.0220000000000002
9,-2.135,0.315,1.046,0.137,3.181
10,-2.737,0.106,1.759,0.226,4.496
11,-2.961,0.084,2.21,0.088,5.170999999999999
12,-2.348,0.188,1.964,0.162,4.311999999999999
13,-1.719,0.15,1.803,0.137,3.5220000000000002
14,-0.754,0.42,2.397,0.199,3.151
15,0.107,0.222,2.224,0.388,2.117
16,0.826,0.219,1.459,0.117,0.6330000000000001
17,0.441,0.31,1.943,0.113,1.502
18,-0.068,0.071,2.086,0.077,2.154
19,-0.026,0.06,2.122,0.096,2.1479999999999997
20,0.357,0.366,1.971,0.234,1.614
21,0.789,0.294,0.687,0.649,-0.10199999999999998
22,-0.336,0.379,-0.68,0.176,-0.34400000000000003
23,-0.91,0.03,-1.63,0.342,-0.7199999999999999
24,-0.462,0.142,-1.633,0.181,-1.171
25,-0.084,0.129,-1.769,0.154,-1.6849999999999998
26,-0.215,0.092,-1.088,0.377,-0.8730000000000001
27,-0.392,0.092,-0.599,0.289,-0.20699999999999996
28,0.597,0.436,1.739,0.71,1.1420000000000001
29,2.076,0.623,3.17,0.438,1.0939999999999999
30,2.675,0.222,3.858,0.182,1.1830000000000003
31,2.392,0.03,2.711,0.423,0.31899999999999995
32,2.435,0.263,1.618,0.329,-0.817
33,0.91,0.479,1.457,0.407,0.547
34,-0.904,0.491,2.575,0.128,3.479
35,-1.996,0.183,1.811,0.245,3.807
36,-1.819,0.315,1.506,0.311,3.325
37,-1.172,0.042,0.932,0.141,2.104
38,-1.45,0.238,0.319,0.234,1.769
39,-1.359,0.174,0.366,0.057,1.725
40,-1.188,0.146,0.459,0.073,1.647
41,-1.784,0.109,0.382,0.21,2.166
42,-1.38,0.279,0.187,0.037,1.567
43,-0.494,0.149,0.087,0.201,0.581
44,-0.11,0.123,-0.256,0.101,-0.14600000000000002
45,0.183,0.088,-0.748,0.195,-0.931
46,0.42,0.238,-0.967,0.127,-1.387
47,-0.3,0.275,-0.783,0.152,-0.48300000000000004
48,-1.234,0.194,-0.451,0.05,0.7829999999999999
49,-1.845,0.055,-0.94,0.22,0.905
50,-1.612,0.078,-0.981,0.197,0.6310000000000001
51,-1.657,0.065,-0.865,0.179,0.792
52,-1.806,0.084,-1.41,0.084,0.39600000000000013
53,-1.546,0.074,-1.146,0.058,0.40000000000000013
54,-1.357,0.064,-1.276,0.061,0.08099999999999996
55,-1.087,0.227,-0.834,0.096,0.253
56,-0.69,0.158,-0.503,0.199,0.18699999999999994
57,-0.381,0.061,0.066,0.046,0.447
58,-0.094,0.119,0.392,0.133,0.486
59,0.473,0.191,0.412,0.178,-0.061
60,1.016,0.201,-0.579,0.256,-1.595
61,1.528,0.098,-1.443,0.312,-2.971
62,1.131,0.199,-1.721,0.335,-2.8520000000000003
63,0.069,0.455,-0.066,0.5,-0.135
64,-0.951,0.195,0.734,0.098,1.685
65,-1.42,0.144,1.641,0.543,3.061
66,-2.019,0.195,3.462,0.379,5.481
67,-1.128,0.507,3.085,0.614,4.213
68,-0.061,0.244,1.31,0.385,1.371
69,0.548,0.176,0.78,0.085,0.23199999999999998
70,0.476,0.064,0.932,0.108,0.45600000000000007
71,0.05,0.17,1.221,0.252,1.171
72,-0.344,0.045,1.763,0.154,2.1069999999999998
73,-0.24,0.251,1.297,0.509,1.537
74,1.028,0.391,-0.276,0.515,-1.304
75,2.213,0.189,-1.356,0.053,-3.569
76,-0.067,1.553,-1.589,0.083,-1.522
77,-4.923,1.017,-1.425,0.226,3.498
78,-5.949,0.139,-2.091,0.308,3.8579999999999997
79,-4.752,0.399,-1.43,0.088,3.322
80,-3.311,0.593,-1.426,0.319,1.885
81,-4.26,1.119,-0.724,0.111,3.5359999999999996
82,-5.781,0.276,-1.656,0.408,4.125
83,-4.371,0.208,-2.079,0.229,2.2920000000000003
84,-4.495,0.108,-1.047,0.418,3.4480000000000004
85,-3.273,0.401,-0.29,0.148,2.983
86,-2.946,0.052,0.243,0.25,3.189
87,-2.936,0.121,0.971,0.252,3.907
88,-2.245,0.309,1.989,0.259,4.234
89,-1.305,0.215,1.718,0.194,3.0229999999999997
90,1.64,1.038,0.717,1.338,-0.9229999999999999
